35	0.000309158	0.000342334	603.781	32674.05	87521.14	ALI07	ALI
35	0.000309158	0.000342334	603.781	36180.32	87521.14	ALI07	ALI
36	0.000342334	0.000385105	483.474	36180.32	109299.78	ALI07	ALI
36	0.000342334	0.000385105	483.474	40700.67	109299.78	ALI07	ALI
37	0.000385105	0.000445387	483.474	40700.67	109299.78	ALI07	ALI
37	0.000385105	0.000445387	483.474	47071.71	109299.78	ALI07	ALI
38	0.000445387	0.00054844	370.389	47071.71	142670.55	ALI07	ALI
38	0.000445387	0.00054844	370.389	57963.09	142670.55	ALI07	ALI
39	0.00054844	inf	370.389	57963.09	142670.55	ALI07	ALI
0	-0	3.72729e-06	1.98031	-0.0	26684511.1	ALI09	ALI
0	-0	3.72729e-06	1.98031	393.93	26684511.1	ALI09	ALI
1	3.72729e-06	7.5514e-06	9200.01	393.93	5743.86	ALI09	ALI
1	3.72729e-06	7.5514e-06	9200.01	798.09	5743.86	ALI09	ALI
2	7.5514e-06	1.14775e-05	33526.3	798.09	1576.18	ALI09	ALI
2	7.5514e-06	1.14775e-05	33526.3	1213.02	1576.18	ALI09	ALI
3	1.14775e-05	1.55112e-05	38677.8	1213.02	1366.25	ALI09	ALI
3	1.14775e-05	1.55112e-05	38677.8	1639.34	1366.25	ALI09	ALI
4	1.55112e-05	1.96585e-05	32581.7	1639.34	1621.88	ALI09	ALI
4	1.55112e-05	1.96585e-05	32581.7	2077.65	1621.88	ALI09	ALI
5	1.96585e-05	2.3926e-05	25826.4	2077.65	2046.11	ALI09	ALI
5	1.96585e-05	2.3926e-05	25826.4	2528.67	2046.11	ALI09	ALI
6	2.3926e-05	2.8321e-05	20625	2528.67	2562.11	ALI09	ALI
6	2.3926e-05	2.8321e-05	20625	2993.17	2562.11	ALI09	ALI
7	2.8321e-05	3.28512e-05	16815.2	2993.17	3142.61	ALI09	ALI
7	2.8321e-05	3.28512e-05	16815.2	3471.95	3142.61	ALI09	ALI
8	3.28512e-05	3.75252e-05	13952.5	3471.95	3787.39	ALI09	ALI
8	3.28512e-05	3.75252e-05	13952.5	3965.93	3787.39	ALI09	ALI
9	3.75252e-05	4.23525e-05	11707.6	3965.93	4513.62	ALI09	ALI
9	3.75252e-05	4.23525e-05	11707.6	4476.12	4513.62	ALI09	ALI
10	4.23525e-05	4.73435e-05	9053.64	4476.12	5836.72	ALI09	ALI
