P1	P2	P3	Dstatistic	Z-score	p-value	f4-ratio	BBAA	ABBA	BABA
NC	SW	PO	0.111111	0.677284	0.249113	0.0248447	10.3351	3.33333	2.66667
NC	WN	PO	0.661721	4.9873	3.06141e-07	0.0889864	10.6369	3.33333	0.678571
NC	QU	SW	0.621717	5.12636	1.477e-07	0.850693	4.5178	4.32613	1.00911
WN	QU	NC	0.351442	1.51473	0.0649205	0.404459	4.42455	2.3433	1.12455
SW	WN	NC	0.571172	2.9652	0.00151245	0.433271	6.37574	3.14955	0.859623
NN	QU	PO	0.572482	1.47311	0.0703601	0.0383224	10.9125	1.33333	0.3625
SW	NN	PO	0.4	2.29665	0.0108193	0.0509554	13.125	2.33333	1
NN	WN	PO	0.37931	1.08233	0.139552	0.0227085	13.7679	1.19048	0.535714
SW	NN	QU	0.344337	2.41104	0.00795361	0.147352	3.29583	3.05417	1.48958
NN	WN	QU	0.196694	0.704615	0.240525	0.0773086	4.12857	2.15476	1.44643
NN	WN	SW	0.157895	0.624387	0.266187	0	3.4881	1.44048	1.04762
SW	QU	PO	0.76066	3.59175	0.000164232	0.084816	10.6812	2.66667	0.3625
WN	QU	PO	0.303602	1.05225	0.146342	0.013937	10.9661	0.678571	0.3625
SW	WN	PO	0.642308	3.00728	0.001318	0.082266	13.0714	2.54167	0.553571
QU	WN	SW	0.531392	2.41937	0.00777375	3.38954	3.24256	3.16875	0.969643
