Sample	posterior	likelihood	prior	lambda	treeHeightLogger	clockRate	
0	-13707.772121215346	-13697.784703177102	-9.98741803824553	0.2544415483712827	11.573123434525964	0.005312663750904632	
750	-13715.113618477859	-13703.47464474673	-11.63897373112906	0.4384565992919291	11.740515158333018	0.006142732462906786	
1500	-13711.255601781468	-13698.855006064707	-12.40059571676096	0.5836471160821304	11.215785411221507	0.0056222478640709185	
2250	-13707.475695087203	-13697.71449313005	-9.76120195715357	0.23350883032056466	11.306084039488573	0.005581651619658467	
3000	-13711.007446867809	-13701.15450733071	-9.852939537099388	0.2685971042306403	10.485531611783347	0.007639338246080299	
3750	-13708.734047169675	-13698.80885541256	-9.925191757114247	0.27669354424403314	10.14534647305058	0.006288744938995887	
4500	-13707.868967954777	-13698.061748202457	-9.807219752319613	0.22946028573649915	11.2965797360054	0.005901272252234467	
5250	-13709.720381231293	-13700.059600646295	-9.660780584998196	0.3261433342496264	11.048004901879107	0.005358837381569173	
6000	-13711.526014263385	-13701.612899039377	-9.913115224007823	0.2550751262166068	11.470141972987827	0.005577093832889648	
6750	-13712.207040928193	-13700.271514821387	-11.935526106806341	0.3636945414239176	12.34317980516692	0.004713922499727021	
7500	-13715.71125945025	-13703.920293529107	-11.790965921143545	0.36106080912332267	12.283521923758428	0.004778175873825143	
8250	-13710.532209512477	-13700.928285387414	-9.603924125064108	0.23662070855850098	11.398630514841066	0.004407777477078646	
9000	-13709.18995155745	-13698.880126091182	-10.309825466267004	0.26662967109370844	11.83222615925895	0.00490251684868299	
9750	-13715.355770387276	-13703.490325631654	-11.865444755621471	0.1748596223327694	9.424644599663344	0.004781734085534476	
10500	-13711.661917021484	-13700.964837550491	-10.697079470992316	0.37691256060493833	11.740250919007531	0.004534482676415002	
11250	-13710.203908099154	-13700.081360215427	-10.122547883727753	0.24791285323884935	11.751509940592456	0.004787593633662684	
12000	-13710.446996833416	-13700.287234325544	-10.159762507872008	0.3406520710874204	11.139411255496166	0.007637380859927164	
12750	-13708.182689422982	-13698.197507333552	-9.98518208942847	0.33888191576622334	10.1835740494568	0.006286842108702034	
13500	-13712.706256129482	-13702.926298743481	-9.779957386000317	0.22859181069788734	10.946190522616055	0.007006489265270458	
14250	-13710.679972639511	-13700.028994308104	-10.6509783314072	0.16682067346958407	10.135246841106882	0.006212990310344172	
15000	-13711.270841178439	-13701.708485109732	-9.562356068708022	0.31840506300198945	10.855956254296586	0.005499349123880122	
15750	-13708.060231082012	-13697.999102535337	-10.061128546675528	0.3152438004965588	10.140495369587208	0.006939453518963883	
16500	-13707.908280768926	-13697.482806042932	-10.425474725995358	0.15366515417070098	11.305280592401841	0.0058673195145518605	
17250	-13709.470433672057	-13698.793538227128	-10.676895444929203	0.38962827594776756	9.972608117723151	0.00781032297952414	
18000	-13711.919413310348	-13701.960155138873	-9.95925817147437	0.3505442945885579	10.742186222039702	0.007261700861597175	
18750	-13708.438808449448	-13698.778695604884	-9.660112844563352	0.2518413929894536	10.960964169508125	0.006536284369640532	
19500	-13711.050217988015	-13698.116717391647	-12.933500596367438	0.6560455605690846	10.013969296811645	0.00710844900839003	
20250	-13710.180195438821	-13700.040995242463	-10.139200196358386	0.38719453727076575	10.5609175834753	0.007097756530121614	
21000	-13711.420972243035	-13701.018678573706	-10.402293669328918	0.4394563680646819	10.522914693418533	0.006149271005108162	
21750	-13713.177601820318	-13703.470016101557	-9.707585718760345	0.3449271957193959	11.151617535858758	0.004734570022241053	
22500	-13714.047741910148	-13703.20220505934	-10.845536850806724	0.13663374661357683	11.41215025613425	0.006116507569064352	
23250	-13713.607926095565	-13702.768660589401	-10.839265506163645	0.41015164972722495	11.504813786692427	0.005874400707560234	
24000	-13715.644974740928	-13705.446975366256	-10.197999374671452	0.428827096505078	10.495857559081283	0.0055058625760519096	
24750	-13711.829975599192	-13700.982845277555	-10.84713032163694	0.34885777035887894	11.88351318390204	0.005205108929553772	
25500	-13708.757399598797	-13697.885772641213	-10.871626957583324	0.47203927164804443	10.53913101066194	0.007326738132448959	
26250	-13710.92872870845	-13699.301458630813	-11.627270077636306	0.2137261532248759	9.522650422264185	0.007776284609206534	
27000	-13711.107423779657	-13699.49167852912	-11.615745250535074	0.17864303283036495	12.359758494100335	0.005481352997862305	
27750	-13712.322582003353	-13702.650521673622	-9.672060329729911	0.2707733836520638	10.290859076893607	0.005634118131615478	
28500	-13709.192620405789	-13698.210288370421	-10.982332035367184	0.37516006715034134	9.658674203242738	0.006664889478411576	
29250	-13715.385883669982	-13703.769218373443	-11.616665296538825	0.43164151280894325	11.811395882815244	0.006099022589997915	
30000	-13709.961773278807	-13700.234941520946	-9.726831757860445	0.33972276569720916	10.710254791039889	0.006241823531062399	
30750	-13707.574883798445	-13697.763053036408	-9.811830762037141	0.308390653043039	11.211506845917897	0.005888960623764436	
31500	-13711.726435611288	-13701.379430727764	-10.347004883524288	0.37211681107527655	11.456554393673013	0.005109067934086069	
32250	-13708.04599842357	-13697.914666993289	-10.131331430279847	0.29368953265898057	11.592992450537523	0.005530153853496352	
33000	-13711.897607788835	-13700.875227403067	-11.022380385768475	0.4022120963529719	11.787863046834314	0.00453710269704412	
33750	-13710.541636940376	-13701.110242887527	-9.431394052847576	0.2787316544651268	10.843629021930502	0.005137389540273538	
34500	-13710.30816510652	-13700.335980636566	-9.972184469954039	0.24009680922948848	10.21317737522727	0.00653297646083518	
35250	-13711.770712147032	-13700.772657916434	-10.998054230598203	0.47679921589228746	11.128101315182063	0.0056902124776602465	
36000	-13707.133682187774	-13697.248874708144	-9.884807479630446	0.2042215278977257	10.761567332434803	0.006918421725588374	
36750	-13711.272986322727	-13701.565882827545	-9.707103495183123	0.24768858164933555	11.264643124635317	0.005620480387885201	
37500	-13710.966170400092	-13699.786260018096	-11.179910381996606	0.3722646832935106	9.609205248586042	0.0071986948338761516	
38250	-13711.87971640986	-13700.774997263026	-11.104719146833379	0.44911367065341196	9.88215901153661	0.007411451496745912	
39000	-13709.073551248177	-13698.22456830465	-10.848982943528217	0.30644518822659567	9.69320351880259	0.007360796356180535	
39750	-13714.590449004154	-13703.686231956923	-10.904217047231038	0.1352965476167438	10.587844493517206	0.007079718133844682	
40500	-13713.373182611218	-13702.27246114982	-11.10072146139909	0.13827105367289425	10.195020110448711	0.006331139946158823	
41250	-13713.063397465028	-13701.196351851446	-11.867045613582992	0.5194957391632936	9.734728486454394	0.007213222612433568	
42000	-13714.0870434168	-13703.755820715021	-10.331222701778632	0.4155687321977743	10.536236757439841	0.006737615573244677	
42750	-13712.50009830177	-13702.87329108765	-9.626807214121687	0.23873769798670563	10.768944172956028	0.006225442013919116	
43500	-13710.410428132102	-13700.585826363807	-9.824601768294283	0.3203549976540188	11.420370909413833	0.004481506135225797	
44250	-13712.161145694366	-13702.911581772561	-9.249563921805626	0.27407326710026403	10.620421971700488	0.00430719412616976	
