Sample	posterior	likelihood	prior	lambda	treeHeightLogger	clockRate
0	-109938.31932712012	-54021.618219356555	-55916.70110776357	0.1	7.563496109278854E-10	0.01
750	-33242.0268914723	-16944.44276880077	-16297.584122671526	34.57708724671965	3.565387496718928E-5	0.5298483245489043
1500	-14179.47923846422	-14034.169809935684	-145.30942852853622	3.3845976089240093	3.524107304594026	0.0018007319678529539
2250	-13778.626455655867	-13769.931640648287	-8.694815007580864	0.2497803340120403	11.713145047797594	0.0012644701945482516
3000	-13722.79859838223	-13713.780477713353	-9.018120668875648	0.22997788722598542	10.970846711728965	0.0031860171306636333
3750	-13714.994819230289	-13703.1416199509	-11.853199279388491	0.6013273105297962	10.547161848183922	0.004721769241703052
4500	-13709.552334508495	-13700.123930258364	-9.428404250130836	0.2331508660093424	11.128814097738971	0.004599695442607688
5250	-13709.573819901007	-13698.952167351334	-10.621652549672872	0.13619538025913772	10.798244178008733	0.005882981379973617
6000	-13711.686548708227	-13700.105625196982	-11.580923511243846	0.10120552200999458	11.003314437890284	0.005786442223872935
6750	-13707.692828119832	-13698.031757207249	-9.661070912583767	0.3056820272740365	10.510350681088427	0.006229619288207443
7500	-13710.200450608361	-13698.749963792892	-11.450486815469809	0.16312511701547705	12.169412035858025	0.00589449989894767
8250	-13707.981019531651	-13697.034534221162	-10.946485310489223	0.41741964159988243	9.812319717890347	0.0067980215871946735
9000	-13707.820336534569	-13698.2003893996	-9.619947134968882	0.3023391555890367	11.215712012023513	0.004966997477834101
9750	-13708.457670311605	-13697.82307537488	-10.634594936725124	0.4054387712239402	11.290180695160862	0.006600279527821472
10500	-13710.580463646318	-13700.414307046402	-10.166156599916441	0.38921643947501094	10.555914748653347	0.007013926441088559
11250	-13709.394732192448	-13698.567517083604	-10.827215108843365	0.4445713108501178	11.04487067356759	0.007198654576651296
12000	-13709.87130207828	-13699.761432564399	-10.109869513880845	0.2928666600021108	10.130238237303908	0.00730092131313166
12750	-13708.580686756119	-13699.025626116243	-9.555060639874704	0.26255579757822406	11.195915148949206	0.005133869556044001
13500	-13713.338744364653	-13702.407386587656	-10.931357776996625	0.42726872068875615	11.490100770574099	0.00548574302457524
14250	-13708.50444430505	-13698.358218697227	-10.146225607823851	0.35620111485292666	11.357859881764119	0.005558155021404489
15000	-13710.299151221929	-13698.518918927166	-11.78023229476289	0.5805584002089407	10.23167781970438	0.005619448925619929
15750	-13714.030900138765	-13703.22497250984	-10.805927628924323	0.258934709510652	12.16097143789337	0.004422034829791152
16500	-13712.735870835431	-13702.647518046808	-10.088352788623851	0.37249368463026244	11.29936232940626	0.004719591988011146
17250	-13713.495054525456	-13701.720693806139	-11.774360719316395	0.3929033841187572	12.201902349846096	0.004232229089992941
18000	-13717.38677906034	-13705.113354223766	-12.27342483657479	0.1078636750272105	12.191028727520996	0.004311356856492782
18750	-13710.231353101604	-13699.172677202692	-11.058675898911982	0.2570893548259383	12.181707555615736	0.005347156173300271
19500	-13710.533690822096	-13700.740449212251	-9.793241609844248	0.30251360273171884	10.804919244574101	0.007380394210189953
20250	-13710.96577696054	-13699.148830669434	-11.816946291106278	0.4418893656536971	11.880021799793813	0.0054713391364582305
21000	-13712.534824826804	-13700.554385572294	-11.980439254510047	0.40555459945814293	12.057639569753325	0.00660676669189427
