sampleA	sampleB	n_avail	n_a	n_b	n_sh	SHa	SHb	SHc	SHs
SW03	SW11	759711	7292	7316	1967	0.2697	0.2689	-0.6811	-0.4634
SW03	SW12	758312	7280	6908	1898	0.2607	0.2748	-0.6893	-0.4654
SW04	SW05	759095	7742	6943	1804	0.233	0.2598	-0.717	-0.4949
SW04	SW06	760052	7747	6958	1926	0.2486	0.2768	-0.7014	-0.4722
SW04	SW07	759543	7731	11438	3661	0.4735	0.3201	-0.6299	-0.3001
SW04	SW08	759423	7725	6728	1839	0.2381	0.2733	-0.7119	-0.4817
SW04	SW09	760836	7763	7313	2215	0.2853	0.3029	-0.6647	-0.4301
SW04	SW10	760014	7762	7342	2114	0.2724	0.2879	-0.6776	-0.4486
SW04	SW11	759580	7731	7249	2183	0.2824	0.3011	-0.6676	-0.4332
SW04	SW12	758149	7719	6896	1930	0.25	0.2799	-0.7	-0.4691
SW05	SW06	758642	7013	7013	2203	0.3141	0.3141	-0.6359	-0.4044
SW05	SW07	758157	7003	11577	3122	0.4458	0.2697	-0.6803	-0.343
SW05	SW08	758053	6981	6779	1382	0.198	0.2039	-0.752	-0.5611
SW05	SW09	759106	7023	7393	1975	0.2812	0.2671	-0.6829	-0.4567
SW05	SW10	758494	7022	7435	1798	0.2561	0.2418	-0.7082	-0.4914
SW05	SW11	758285	6999	7335	1803	0.2576	0.2458	-0.7042	-0.4876
SW05	SW12	756748	6990	6948	1753	0.2508	0.2523	-0.6992	-0.4878
SW06	SW07	758843	7006	11585	3318	0.4736	0.2864	-0.6636	-0.3161
SW06	SW08	758803	7003	6769	1511	0.2158	0.2232	-0.7342	-0.5336
SW06	SW09	760118	7043	7404	2033	0.2887	0.2746	-0.6754	-0.4466
SW06	SW10	759287	7020	7412	1869	0.2662	0.2522	-0.6978	-0.4772
SW06	SW11	758958	7018	7342	1948	0.2776	0.2653	-0.6847	-0.4604
SW06	SW12	757619	7006	6962	1825	0.2605	0.2621	-0.6895	-0.4743
SW07	SW08	758526	11508	6774	3140	0.2729	0.4635	-0.6771	-0.3294
SW07	SW09	759525	11595	7378	3801	0.3278	0.5152	-0.6222	-0.2705
SW07	SW10	758816	11580	7406	3264	0.2819	0.4407	-0.6681	-0.3403
SW07	SW11	758595	11561	7316	3250	0.2811	0.4442	-0.6689	-0.3383
SW07	SW12	757033	11531	6939	2934	0.2544	0.4228	-0.6956	-0.3667
SW08	SW09	759398	6796	7360	1692	0.249	0.2299	-0.7201	-0.5048
SW08	SW10	759023	6806	7391	1803	0.2649	0.2439	-0.7061	-0.4837
SW08	SW11	758641	6779	7304	1691	0.2494	0.2315	-0.7185	-0.5034
SW08	SW12	757163	6766	6923	1407	0.208	0.2032	-0.7468	-0.5541
SW09	SW10	759965	7410	7434	2056	0.2775	0.2766	-0.6734	-0.4529
SW09	SW11	759663	7380	7356	2166	0.2935	0.2945	-0.6565	-0.4303
SW09	SW12	758166	7359	6962	2105	0.286	0.3024	-0.664	-0.43
SW10	SW11	759033	7414	7354	2138	0.2884	0.2907	-0.6616	-0.4362
SW10	SW12	757764	7392	6971	2198	0.2973	0.3153	-0.6527	-0.4143
SW11	SW12	757260	7284	6943	1893	0.2599	0.2726	-0.6901	-0.4675
WAS01	WAS02	730734	38722	40702	15393	0.3975	0.3782	-0.5718	-0.3159
WAS01	WAS03	714044	38134	37996	14553	0.3816	0.383	-0.5684	-0.3223
WAS01	WAS04	730750	38699	38666	15477	0.3999	0.4003	-0.5501	-0.3024
WAS01	WAS05	700476	37599	36945	14364	0.382	0.3888	-0.568	-0.3188
WAS01	WAS06	726342	38530	40420	15968	0.4144	0.3951	-0.5549	-0.2972
WAS01	WAS07	703657	37501	38701	14543	0.3878	0.3758	-0.5742	-0.3228
WAS01	WAS08	729511	38531	38575	14262	0.3701	0.3697	-0.5803	-0.3365
WAS01	WAS09	697595	37378	39163	15716	0.4205	0.4013	-0.5487	-0.2905
WAS01	WAS10	730286	38701	38480	14655	0.3787	0.3808	-0.5713	-0.3252
WAS01	WAS11	692563	37111	39098	14593	0.3932	0.3732	-0.5768	-0.3212
WAS01	WAS12	727309	38534	39369	14966	0.3884	0.3801	-0.5699	-0.3201
WAS02	WAS03	714659	40005	38054	15945	0.3986	0.419	-0.5514	-0.2928
WAS02	WAS04	731821	40725	38816	15665	0.3847	0.4036	-0.5653	-0.3089
WAS02	WAS05	700996	39384	36985	14537	0.3691	0.3931	-0.5809	-0.3235
WAS02	WAS06	727800	40639	40564	16622	0.409	0.4098	-0.541	-0.2922
WAS02	WAS07	703598	39323	38782	15827	0.4025	0.4081	-0.5475	-0.2967
WAS02	WAS08	730284	40549	38667	15160	0.3739	0.3921	-0.5761	-0.3214
WAS02	WAS09	697917	39112	39202	15703	0.4015	0.4006	-0.5494	-0.3013
WAS02	WAS10	732073	40826	38617	15844	0.3881	0.4103	-0.5619	-0.3033
WAS02	WAS11	692735	38893	39097	15191	0.3906	0.3885	-0.5615	-0.3141
WAS02	WAS12	728361	40587	39509	15976	0.3936	0.4044	-0.5564	-0.3036
WAS03	WAS04	714545	38064	38121	15440	0.4056	0.405	-0.545	-0.2967
WAS03	WAS05	690148	36992	36497	13682	0.3699	0.3749	-0.5801	-0.3336
WAS03	WAS06	710490	37883	39784	14793	0.3905	0.3718	-0.5782	-0.3235
WAS03	WAS07	693152	37003	38344	15443	0.4173	0.4027	-0.5473	-0.2915
WAS03	WAS08	713812	37871	37894	14058	0.3712	0.371	-0.579	-0.3351
WAS03	WAS09	687536	36816	38701	14969	0.4066	0.3868	-0.5632	-0.306
WAS03	WAS10	714408	38033	37813	14362	0.3776	0.3798	-0.5724	-0.3264
WAS03	WAS11	682683	36652	38655	15280	0.4169	0.3953	-0.5547	-0.2957
WAS03	WAS12	712717	37958	38784	15289	0.4028	0.3942	-0.5558	-0.3041
WAS04	WAS05	701077	37565	36975	15068	0.4011	0.4075	-0.5489	-0.2978
WAS04	WAS06	727367	38604	40456	15188	0.3934	0.3754	-0.5746	-0.3198
WAS04	WAS07	704164	37457	38793	15502	0.4139	0.3996	-0.5504	-0.2951
WAS04	WAS08	730064	38646	38583	14081	0.3644	0.365	-0.5856	-0.3426
WAS04	WAS09	698231	37370	39225	15953	0.4269	0.4067	-0.5433	-0.2842
WAS04	WAS10	731188	38805	38547	15268	0.3935	0.3961	-0.5565	-0.3082
WAS04	WAS11	692844	37114	39089	15486	0.4173	0.3962	-0.5538	-0.295
WAS04	WAS12	728004	38625	39435	15330	0.3969	0.3887	-0.5613	-0.3105
WAS05	WAS06	697251	36848	39171	14881	0.4038	0.3799	-0.5701	-0.3114
WAS05	WAS07	681987	35970	37804	14314	0.3979	0.3786	-0.5714	-0.3155
WAS05	WAS08	700370	36824	37367	13291	0.3609	0.3557	-0.5943	-0.3501
WAS05	WAS09	677003	35881	38285	14597	0.4068	0.3813	-0.5687	-0.3089
WAS05	WAS10	700746	37002	37201	14121	0.3816	0.3796	-0.5704	-0.3242
WAS05	WAS11	672623	35678	38234	14526	0.4071	0.3799	-0.5701	-0.3095
WAS05	WAS12	699583	36924	38262	14788	0.4005	0.3865	-0.5635	-0.3096
WAS06	WAS07	700493	39062	38614	15694	0.4018	0.4064	-0.5482	-0.298
WAS06	WAS08	725884	40308	38448	15526	0.3852	0.4038	-0.5648	-0.3085
WAS06	WAS09	694448	38987	39078	16683	0.4279	0.4269	-0.5231	-0.2731
WAS06	WAS10	727408	40559	38450	16073	0.3963	0.418	-0.5537	-0.2946
WAS06	WAS11	688892	38723	38938	16403	0.4236	0.4213	-0.5287	-0.2783
WAS06	WAS12	724173	40330	39297	15892	0.394	0.4044	-0.556	-0.3034
WAS07	WAS08	703775	38594	37373	13791	0.3573	0.369	-0.5927	-0.3444
WAS07	WAS09	679559	37619	38197	15334	0.4076	0.4014	-0.5486	-0.2976
WAS07	WAS10	703667	38759	37223	14534	0.375	0.3905	-0.575	-0.3217
WAS07	WAS11	675301	37480	38104	15622	0.4168	0.41	-0.54	-0.2879
WAS07	WAS12	702748	38676	37916	15024	0.3885	0.3962	-0.5615	-0.311
WAS08	WAS09	697491	37292	39058	15394	0.4128	0.3941	-0.5559	-0.2986
WAS08	WAS10	729797	38610	38367	14088	0.3649	0.3672	-0.5851	-0.341
WAS08	WAS11	692269	37044	38999	15526	0.4191	0.3981	-0.5519	-0.293
WAS08	WAS12	727421	38469	39239	14849	0.386	0.3784	-0.5716	-0.3224
WAS09	WAS10	697926	39196	37041	15078	0.3847	0.4071	-0.5653	-0.3069
WAS09	WAS11	670327	37942	38095	16199	0.4269	0.4252	-0.5248	-0.2745
WAS09	WAS12	696550	39161	38007	15962	0.4076	0.42	-0.5424	-0.2875
WAS10	WAS11	692456	36811	39150	15012	0.4078	0.3834	-0.5666	-0.3072
WAS10	WAS12	727942	38385	39485	15568	0.4056	0.3943	-0.5557	-0.3025
WAS11	WAS12	691335	39068	37755	16328	0.4179	0.4325	-0.5321	-0.2754
WN01	WN02	761073	5956	11284	4159	0.6983	0.3686	-0.5814	-0.1463
WN01	WN03	759536	5445	5617	2040	0.3747	0.3632	-0.5868	-0.3376
WN01	WN04	760748	6003	5954	1868	0.3112	0.3137	-0.6388	-0.4065
WN01	WN05	758236	5979	5712	2278	0.381	0.3988	-0.569	-0.3136
WN01	WN06	758344	5993	6252	2066	0.3447	0.3305	-0.6195	-0.375
WN01	WN07	760172	5807	8196	3245	0.5588	0.3959	-0.5541	-0.2168
WN01	WN08	759437	5493	7602	2635	0.4797	0.3466	-0.6034	-0.2838
WN01	WN09	758768	5960	5940	1866	0.3131	0.3141	-0.6369	-0.405
WN01	WN10	760711	6003	6270	2064	0.3438	0.3292	-0.6208	-0.3763
WN01	WN11	760587	5931	5661	1973	0.3327	0.3485	-0.6173	-0.3713
WN01	WN12	759636	5689	8593	3341	0.5873	0.3888	-0.5612	-0.2035
WN02	WN03	759744	10277	5617	5609	0.5458	0.9986	-0.4042	0.0196
WN02	WN04	760907	11294	5898	3807	0.3371	0.6455	-0.6129	-0.1866
WN02	WN05	758290	11221	5670	3829	0.3412	0.6753	-0.6088	-0.1672
WN02	WN06	758413	11245	6198	4165	0.3704	0.672	-0.5796	-0.1611
WN02	WN07	760458	10774	8042	7963	0.7391	0.9902	-0.2109	0.0085
WN02	WN08	759485	10187	7534	5116	0.5022	0.6791	-0.4478	-0.1213
WN02	WN09	758887	11209	5889	3802	0.3392	0.6456	-0.6108	-0.1859
WN02	WN10	760816	11280	6210	4171	0.3698	0.6717	-0.5802	-0.1615
WN02	WN11	760726	11175	5626	4036	0.3612	0.7174	-0.5888	-0.137
WN02	WN12	759751	10590	8528	5849	0.5523	0.6859	-0.3977	-0.105
WN03	WN04	759367	5618	5465	1769	0.3149	0.3237	-0.6351	-0.3978
WN03	WN05	756896	5579	5167	1949	0.3493	0.3772	-0.6007	-0.3441
WN03	WN06	756954	5597	5681	1989	0.3554	0.3501	-0.5999	-0.3567
WN03	WN07	758769	5403	7443	3006	0.5564	0.4039	-0.5461	-0.2149
WN03	WN08	758088	5073	6938	2515	0.4958	0.3625	-0.5875	-0.2668
WN03	WN09	757447	5581	5454	1765	0.3163	0.3236	-0.6337	-0.3969
WN03	WN10	759224	5610	5692	1995	0.3556	0.3505	-0.5995	-0.3563
WN03	WN11	759139	5554	5190	2061	0.3711	0.3971	-0.5789	-0.3201
WN03	WN12	758328	5268	7828	2944	0.5588	0.3761	-0.5739	-0.2245
WN04	WN05	758094	5931	5701	1675	0.2824	0.2938	-0.6676	-0.4381
WN04	WN06	758314	5936	6267	2069	0.3486	0.3301	-0.6199	-0.3728
WN04	WN07	760146	5776	8197	2998	0.519	0.3657	-0.5843	-0.2518
WN04	WN08	759218	5456	7619	2658	0.4872	0.3489	-0.6011	-0.2782
WN04	WN09	759232	5981	5987	5979	0.9997	0.9987	0.0487	-0.0024
WN04	WN10	760663	5968	6287	2079	0.3484	0.3307	-0.6193	-0.3726
WN04	WN11	760469	5913	5673	1951	0.33	0.3439	-0.62	-0.3758
WN04	WN12	759439	5654	8596	2708	0.479	0.315	-0.635	-0.2991
WN05	WN06	757008	5699	6224	1983	0.348	0.3186	-0.6314	-0.3801
WN05	WN07	757542	5522	8133	2993	0.542	0.368	-0.582	-0.2375
WN05	WN08	756681	5146	7557	2420	0.4703	0.3202	-0.6298	-0.3021
WN05	WN09	756812	5667	5935	1676	0.2957	0.2824	-0.6676	-0.4368
WN05	WN10	757938	5704	6229	1980	0.3471	0.3179	-0.6321	-0.3811
WN05	WN11	757845	5666	5636	1968	0.3473	0.3492	-0.6027	-0.3621
WN05	WN12	757545	5740	8582	5737	0.9995	0.6685	-0.2815	0.0139
WN06	WN07	757743	6047	8152	3231	0.5343	0.3963	-0.5537	-0.2302
WN06	WN08	756846	4695	7569	3548	0.7557	0.4688	-0.4812	-0.0935
WN06	WN09	757028	6211	5937	2068	0.333	0.3483	-0.617	-0.3712
WN06	WN10	758513	6283	6279	6276	0.9989	0.9995	0.0489	-0.0024
WN06	WN11	757967	6193	5645	1964	0.3171	0.3479	-0.6329	-0.3811
WN06	WN12	757099	5909	8570	3098	0.5243	0.3615	-0.5885	-0.2505
WN07	WN08	758662	7357	7359	3914	0.532	0.5319	-0.4181	-0.1748
WN07	WN09	758211	8121	5763	2989	0.3681	0.5187	-0.5819	-0.251
WN07	WN10	760059	8184	6065	3239	0.3958	0.534	-0.5542	-0.2305
WN07	WN11	760010	8113	5478	3116	0.3841	0.5688	-0.5659	-0.2157
WN07	WN12	758986	7658	8292	4537	0.5925	0.5472	-0.4028	-0.144
WN08	WN09	757329	7554	5449	2652	0.3511	0.4867	-0.5989	-0.2775
WN08	WN10	759161	7613	4708	3560	0.4676	0.7562	-0.4824	-0.0935
WN08	WN11	758990	7544	5136	2428	0.3218	0.4727	-0.6282	-0.2998
WN08	WN12	758142	7202	7756	3711	0.5153	0.4785	-0.4715	-0.205
WN09	WN10	758834	5957	6220	2076	0.3485	0.3338	-0.6162	-0.3706
WN09	WN11	758407	5901	5636	1946	0.3298	0.3453	-0.6202	-0.375
WN09	WN12	757442	5648	8525	2706	0.4791	0.3174	-0.6326	-0.2979
WN10	WN11	760433	6214	5671	1961	0.3156	0.3458	-0.6344	-0.3833
WN10	WN12	759406	5925	8600	3102	0.5235	0.3607	-0.5893	-0.2513
WN11	WN12	759346	4591	8511	4035	0.8789	0.4741	-0.4759	-0.0338
