Sample	posterior	likelihood	prior	lambda	treeHeightLogger	clockRate	
0	-14301.800037632722	-14284.00839365056	-17.7916439821614	0.3767129637520632	11.630215984515672	0.006926667885382291	
750	-14300.937168212153	-14282.389801802272	-18.54736640988148	0.27711441582798974	10.812388717544342	0.005742353499342244	
1500	-14299.490201189361	-14282.521515849568	-16.968685339791797	0.392206487912785	10.053211797877607	0.006075702728406902	
2250	-14302.131491945374	-14286.745079493623	-15.386412451751498	0.5778459283523961	10.364920198820524	0.004188410256392697	
3000	-14299.862740729257	-14283.054673825565	-16.808066903691763	0.41067949445762353	11.400856203698611	0.004789167756949799	
3750	-14301.559984926927	-14279.858500196158	-21.701484730768367	0.40154140721202514	13.272664217137388	0.004727926720657898	
4500	-14299.514672225587	-14281.026856401333	-18.48781582425412	0.3217548168985097	11.812072589918401	0.004939154371001988	
5250	-14300.669081016515	-14282.586850565385	-18.082230451130002	0.36322387434017017	11.856393739736609	0.005230443403245987	
6000	-14296.081306274084	-14280.12410395742	-15.957202316664665	0.7071738079023595	9.788031149194344	0.005176477588220482	
6750	-14305.849023032955	-14288.686291142256	-17.1627318906986	0.5004966470729537	11.679755854079517	0.006199916397421069	
7500	-14300.902268195961	-14284.495539259182	-16.40672893678022	0.544174642273532	11.510640703355536	0.004218333390405656	
8250	-14302.298601335822	-14283.586464339842	-18.712136995980426	0.3214713690717249	11.887176871519095	0.00532082485451281	
9000	-14304.561846736417	-14288.489011717835	-16.072835018581976	0.7577733485797231	10.017999218342963	0.005485182199548575	
9750	-14303.329337607696	-14287.163656803186	-16.16568080451028	0.4293448801118961	10.733946963381628	0.005065695089491583	
10500	-14303.623184974167	-14287.451878592696	-16.17130638147207	0.4730150219633385	9.980820025680734	0.005058072938175322	
11250	-14297.656994850166	-14280.960542818062	-16.696452032103085	0.3891279287558134	10.58207494481692	0.006043080359872805	
12000	-14303.1736263231	-14286.533186565024	-16.640439758074763	0.5937606650818061	11.46650935377306	0.005225130187983379	
12750	-14301.300715849671	-14283.99907667941	-17.301639170261083	0.6622752405629622	11.639783493483083	0.005494109626852443	
13500	-14295.378302307268	-14279.788991691335	-15.589310615933552	0.6455164247325432	10.570817999368845	0.00490526745852263	
14250	-14294.729993354575	-14279.168568254505	-15.56142510007011	0.5642273908223298	10.571374613751887	0.005024017681092525	
15000	-14296.972750590534	-14279.412004447013	-17.560746143521975	0.4545496411310447	11.962075481052969	0.004790349643375771	
15750	-14296.980682299103	-14279.846217397122	-17.134464901981367	0.6906906693697981	11.480557518995981	0.00613893340211258	
16500	-14299.288979142771	-14279.552342079201	-19.736637063570807	1.2189365854076502	9.640621468470558	0.00703895106369409	
17250	-14304.131729789236	-14287.082810371401	-17.048919417836025	0.6469924166883013	11.504868003782182	0.006580478796075767	
18000	-14295.85333509872	-14279.83199717791	-16.02133792081156	0.742359891835424	10.271507151099641	0.0061403808614139375	
18750	-14302.893368600737	-14285.831489610453	-17.061878990283592	0.6804056407740009	11.548013833106783	0.005215865090518056	
19500	-14297.262169917818	-14280.672890920374	-16.589278997443987	0.7725064979690909	10.982444757342193	0.005384310241175863	
20250	-14296.841691364252	-14280.88744107093	-15.954250293321433	0.4433417494338157	10.616919312206063	0.00481440393850759	
21000	-14302.888227066407	-14285.51650084487	-17.371726221537017	0.3314042492588972	10.887829774376488	0.005156123730304495	
21750	-14301.10524651456	-14284.57736111133	-16.527885403229533	0.8215525740110775	10.757928226093897	0.005181098359364963	
22500	-14296.40073427036	-14280.317012067575	-16.083722202786532	0.6606788982109904	9.855779388193453	0.006748745095940868	
23250	-14295.377509008908	-14279.021970550037	-16.3555384588715	0.8069218042031758	9.994319628743643	0.0063141664074735405	
24000	-14294.902386954655	-14279.056519736801	-15.845867217853801	0.657306132828948	10.663706117844418	0.00614400654938228	
24750	-14304.788416921909	-14285.204548129723	-19.58386879218594	0.8713402049787554	11.926373914089451	0.005404470006338134	
25500	-14303.016282923712	-14286.257848895699	-16.75843402801293	0.7918214574039625	10.988717327887832	0.005459103926500615	
26250	-14298.359973538472	-14282.716197400003	-15.643776138469914	0.5704224555367636	10.22509848075946	0.005557067393586015	
27000	-14298.905090365157	-14282.820083765662	-16.085006599495046	0.6309114382165041	11.092666328006956	0.005242561800352881	
27750	-14294.943949939043	-14278.372969527441	-16.570980411601848	0.6102681849629165	11.443740747909537	0.005155757795936053	
28500	-14300.424901064502	-14284.26244548108	-16.162455583421522	0.5353810565037989	10.116173686304352	0.007909277487467182	
29250	-14306.128277670467	-14286.46026443881	-19.66801323165511	1.1379324368445112	10.826563578554055	0.005377251836328609	
30000	-14296.421477461912	-14280.410121593992	-16.01135586792096	0.6678864966030832	10.829869481592052	0.00597426219363119	
30750	-14301.57372724329	-14283.601149077227	-17.97257816606448	0.693770305409007	11.784707968630789	0.006610710868567156	
31500	-14297.464965423263	-14281.567478602843	-15.897486820419989	0.7678369612507877	10.357278921206655	0.004834243660264172	
32250	-14298.290191964057	-14281.834270889449	-16.455921074609247	0.4736606114708831	11.51112610005564	0.004011268603788775	
33000	-14293.867826760534	-14278.21838825241	-15.64943850812439	0.5752225623014562	10.109038756187292	0.005136275037914922	
33750	-14296.313312347787	-14279.700974477919	-16.61233786986805	0.5324336426786744	11.552497041101143	0.004783059790375858	
34500	-14297.4604904197	-14281.130939857543	-16.329550562157717	0.5753350401308112	11.291168042431154	0.005654698287048758	
35250	-14300.21641878672	-14279.852197530225	-20.36422125649599	0.41298710287709894	12.896809729108544	0.004863033272377175	
36000	-14301.505778860455	-14284.31757829334	-17.188200567116088	0.7930146358677395	11.395486578442624	0.003909476710376301	
36750	-14306.190475931055	-14288.523222254174	-17.667253676880154	1.0139578789335735	10.290938366846623	0.00536347197175663	
37500	-14298.360116082544	-14282.60825497809	-15.751861104455067	0.5681259387610028	10.667626657936514	0.005930044018203334	
38250	-14299.751848639786	-14283.102655667659	-16.649192972127103	0.41354555541620597	11.016271909262638	0.006431792876456889	
39000	-14309.038094972353	-14290.343716007768	-18.69437896458507	0.33200498472804896	11.991713239917212	0.004955529063308286	
39750	-14300.418744581284	-14284.313000827457	-16.105743753827078	0.6779229650252108	11.052413193864504	0.004757377803132603	
40500	-14303.694534141814	-14286.433893875044	-17.260640266769062	0.5712527733529349	11.868132012641468	0.004531760615703233	
41250	-14304.167157163922	-14288.013714169087	-16.153442994834805	0.5507807550295808	11.155345792584153	0.005587578307931626	
42000	-14298.957742293107	-14282.875735291698	-16.082007001408922	0.6750908296027035	9.793210753242045	0.006055138154889176	
42750	-14302.664759562202	-14283.566737668458	-19.098021893743578	0.5592614485273077	12.529224238286575	0.00468969437918293	
43500	-14297.04026296995	-14280.204271598623	-16.835991371325765	0.7525853991016621	11.173230790861748	0.005700555511282018	
44250	-14297.641794432613	-14281.839587712104	-15.802206720509396	0.6829192694946686	10.768695767350613	0.004912804159126174	
45000	-14298.852028495532	-14282.523748134077	-16.328280361453846	0.4755180497132834	11.396367072674751	0.004341232392551114	
45750	-14307.340984911401	-14291.906583130867	-15.434401780534731	0.5697038766465503	10.602764708786898	0.004337146332251209	
46500	-14307.510327256663	-14289.820661459382	-17.689665797281616	0.5806171350620335	12.118129658268964	0.0036580335898788374	
47250	-14301.308569703397	-14284.662790131277	-16.645779572119853	0.4229800155572456	11.318174949672246	0.005023035224126229	
48000	-14299.199479331304	-14282.477045114792	-16.722434216512678	0.6834058754388233	11.319314217787849	0.0055457772706653365	
48750	-14297.342291778166	-14281.731447618964	-15.610844159201614	0.6093466745739686	10.21336208663885	0.005248742099832435	
49500	-14300.906744442598	-14284.608619044711	-16.298125397887247	0.478352171780336	10.072454942932819	0.007074038773061018	
50250	-14300.67571747612	-14283.571906824693	-17.10381065142826	0.8795307939510716	10.624383045848269	0.006669936029947518	
51000	-14299.353388627105	-14283.366286075236	-15.987102551869555	0.5542053038575346	10.096103575596103	0.007188812170269297	
