time_index	left_time_boundary	right_time_boundary	lambda_00
0	-0	1.1295e-05	288.045
1	1.1295e-05	2.28833e-05	4177.07
2	2.28833e-05	3.47808e-05	10065.7
3	3.47808e-05	4.70042e-05	9915.19
4	4.70042e-05	5.9572e-05	8329.28
5	5.9572e-05	7.25041e-05	6848.57
6	7.25041e-05	8.58223e-05	5639.79
7	8.58223e-05	9.95504e-05	4647.34
8	9.95504e-05	0.000113714	3830.99
9	0.000113714	0.000128343	3169.88
10	0.000128343	0.000143467	2418.07
11	0.000143467	0.000159122	2418.07
12	0.000159122	0.000175347	1768.99
13	0.000175347	0.000192184	1768.99
14	0.000192184	0.000209681	1367.63
15	0.000209681	0.000227893	1367.63
16	0.000227893	0.00024688	1109.12
17	0.00024688	0.000266711	1109.12
18	0.000266711	0.000287465	935.214
19	0.000287465	0.000309232	935.214
20	0.000309232	0.000332115	814.789
21	0.000332115	0.000356236	814.789
22	0.000356236	0.000381736	730.876
23	0.000381736	0.000408782	730.876
24	0.000408782	0.000437574	673.335
25	0.000437574	0.000468354	673.335
26	0.000468354	0.000501416	635.212
27	0.000501416	0.000537125	635.212
28	0.000537125	0.000575943	611.071
29	0.000575943	0.000618463	611.071
30	0.000618463	0.000665468	595.956
31	0.000665468	0.000718014	595.956
32	0.000718014	0.000777586	584.106
33	0.000777586	0.000846357	584.106
34	0.000846357	0.000927695	566.12
35	0.000927695	0.00102725	566.12
36	0.00102725	0.00115559	517.959
37	0.00115559	0.00133648	517.959
38	0.00133648	0.00164571	420.175
39	0.00164571	inf	420.175
