time_index	left_time_boundary	right_time_boundary	lambda_00
0	-0	3.45605e-06	51.6107
1	3.45605e-06	7.00188e-06	28369.1
2	7.00188e-06	1.06423e-05	45451.5
3	1.06423e-05	1.43824e-05	40997.3
4	1.43824e-05	1.82279e-05	32317.1
5	1.82279e-05	2.21849e-05	24859.4
6	2.21849e-05	2.62601e-05	19256.1
7	2.62601e-05	3.04606e-05	15140.6
8	3.04606e-05	3.47945e-05	12102.1
9	3.47945e-05	3.92706e-05	9826.99
10	3.92706e-05	4.38984e-05	7357.26
11	4.38984e-05	4.86886e-05	7357.26
12	4.86886e-05	5.3653e-05	5228.78
13	5.3653e-05	5.88048e-05	5228.78
14	5.88048e-05	6.41587e-05	3877
15	6.41587e-05	6.97312e-05	3877
16	6.97312e-05	7.55409e-05	2983.44
17	7.55409e-05	8.16088e-05	2983.44
18	8.16088e-05	8.79591e-05	2372.48
19	8.79591e-05	9.46193e-05	2372.48
20	9.46193e-05	0.000101621	1941.28
21	0.000101621	0.000109002	1941.28
22	0.000109002	0.000116804	1627.03
23	0.000116804	0.00012508	1627.03
24	0.00012508	0.00013389	1390.19
25	0.00013389	0.000143308	1390.19
26	0.000143308	0.000153424	1204.95
27	0.000153424	0.000164351	1204.95
28	0.000164351	0.000176228	1053.57
29	0.000176228	0.000189239	1053.57
30	0.000189239	0.000203621	923.12
31	0.000203621	0.000219699	923.12
32	0.000219699	0.000237927	802.976
33	0.000237927	0.00025897	802.976
34	0.00025897	0.000283858	682.383
35	0.000283858	0.000314319	682.383
36	0.000314319	0.000353589	545.049
37	0.000353589	0.000408938	545.049
38	0.000408938	0.000503557	411.274
39	0.000503557	inf	411.274
