time_index	left_time_boundary	right_time_boundary	lambda_00
0	-0	3.11029e-06	0.0016221
1	3.11029e-06	6.30137e-06	8.2876
2	6.30137e-06	9.57756e-06	132.311
3	9.57756e-06	1.29435e-05	385.977
4	1.29435e-05	1.64043e-05	658.696
5	1.64043e-05	1.99654e-05	948.266
6	1.99654e-05	2.36329e-05	1301.87
7	2.36329e-05	2.74132e-05	1756.08
8	2.74132e-05	3.13135e-05	2324.2
9	3.13135e-05	3.53417e-05	2998.23
10	3.53417e-05	3.95065e-05	4158.12
11	3.95065e-05	4.38175e-05	4158.12
12	4.38175e-05	4.82852e-05	5797.53
13	4.82852e-05	5.29216e-05	5797.53
14	5.29216e-05	5.77399e-05	7342.82
15	5.77399e-05	6.27548e-05	7342.82
16	6.27548e-05	6.79833e-05	8644.95
17	6.79833e-05	7.34442e-05	8644.95
18	7.34442e-05	7.91592e-05	9653.81
19	7.91592e-05	8.5153e-05	9653.81
20	8.5153e-05	9.14544e-05	10388.8
21	9.14544e-05	9.80965e-05	10388.8
22	9.80965e-05	0.000105118	10897.2
23	0.000105118	0.000112566	10897.2
24	0.000112566	0.000120495	11220
25	0.000120495	0.00012897	11220
26	0.00012897	0.000138075	11373.3
27	0.000138075	0.000147908	11373.3
28	0.000147908	0.000158597	11345
29	0.000158597	0.000170306	11345
30	0.000170306	0.00018325	11106.5
31	0.00018325	0.000197719	11106.5
32	0.000197719	0.000214124	10629.4
33	0.000214124	0.000233061	10629.4
34	0.000233061	0.000255459	9892.94
35	0.000255459	0.000282872	9892.94
36	0.000282872	0.000318214	8849.71
37	0.000318214	0.000368025	8849.71
38	0.000368025	0.000453178	7724.26
39	0.000453178	inf	7724.26
