time_index	left_time_boundary	right_time_boundary	lambda_00
0	-0	2.05736e-06	8.82883
1	2.05736e-06	4.16816e-06	46.4851
2	4.16816e-06	6.33525e-06	166.23
3	6.33525e-06	8.56172e-06	788.336
4	8.56172e-06	1.08509e-05	2262.93
5	1.08509e-05	1.32065e-05	4468.51
6	1.32065e-05	1.56324e-05	6994.36
7	1.56324e-05	1.81329e-05	9449.93
8	1.81329e-05	2.07129e-05	11598.2
9	2.07129e-05	2.33774e-05	13345.2
10	2.33774e-05	2.61323e-05	15168.3
11	2.61323e-05	2.89838e-05	15168.3
12	2.89838e-05	3.19391e-05	16349.1
13	3.19391e-05	3.50059e-05	16349.1
14	3.50059e-05	3.81931e-05	16333.8
15	3.81931e-05	4.15103e-05	16333.8
16	4.15103e-05	4.49688e-05	15488.3
17	4.49688e-05	4.8581e-05	15488.3
18	4.8581e-05	5.23612e-05	14197.8
19	5.23612e-05	5.6326e-05	14197.8
20	5.6326e-05	6.04941e-05	12797.1
21	6.04941e-05	6.48877e-05	12797.1
22	6.48877e-05	6.95325e-05	11516
23	6.95325e-05	7.44589e-05	11516
24	7.44589e-05	7.97034e-05	10475.1
25	7.97034e-05	8.53098e-05	10475.1
26	8.53098e-05	9.13319e-05	9712.55
27	9.13319e-05	9.78363e-05	9712.55
28	9.78363e-05	0.000104907	9216.04
29	0.000104907	0.000112652	9216.04
30	0.000112652	0.000121214	8946.46
31	0.000121214	0.000130785	8946.46
32	0.000130785	0.000141636	8854.05
33	0.000141636	0.000154162	8854.05
34	0.000154162	0.000168978	8883.78
35	0.000168978	0.000187111	8883.78
36	0.000187111	0.000210488	8946.06
37	0.000210488	0.000243437	8946.06
38	0.000243437	0.000299763	8730.32
39	0.000299763	inf	8730.32
