time_index	left_time_boundary	right_time_boundary	lambda_00
0	-0	1.69811e-06	0.00392713
1	1.69811e-06	3.44032e-06	120.828
2	3.44032e-06	5.22901e-06	4041.33
3	5.22901e-06	7.0667e-06	9811.84
4	7.0667e-06	8.95617e-06	12018.8
5	8.95617e-06	1.09004e-05	12691
6	1.09004e-05	1.29027e-05	13245.8
7	1.29027e-05	1.49666e-05	13976.2
8	1.49666e-05	1.7096e-05	14822.6
9	1.7096e-05	1.92953e-05	15651.6
10	1.92953e-05	2.15691e-05	16585.7
11	2.15691e-05	2.39228e-05	16585.7
12	2.39228e-05	2.6362e-05	17020.5
13	2.6362e-05	2.88933e-05	17020.5
14	2.88933e-05	3.15239e-05	16622.2
15	3.15239e-05	3.42619e-05	16622.2
16	3.42619e-05	3.71164e-05	15756.6
17	3.71164e-05	4.00979e-05	15756.6
18	4.00979e-05	4.32181e-05	14727.5
19	4.32181e-05	4.64905e-05	14727.5
20	4.64905e-05	4.99308e-05	13689
21	4.99308e-05	5.35572e-05	13689
22	5.35572e-05	5.73909e-05	12700.1
23	5.73909e-05	6.14571e-05	12700.1
24	6.14571e-05	6.57858e-05	11782.4
25	6.57858e-05	7.04133e-05	11782.4
26	7.04133e-05	7.53838e-05	10950.5
27	7.53838e-05	8.07524e-05	10950.5
28	8.07524e-05	8.65884e-05	10226.7
29	8.65884e-05	9.2981e-05	10226.7
30	9.2981e-05	0.000100048	9645.31
31	0.000100048	0.000107948	9645.31
32	0.000107948	0.000116904	9254.16
33	0.000116904	0.000127243	9254.16
34	0.000127243	0.000139472	9116.87
35	0.000139472	0.000154438	9116.87
36	0.000154438	0.000173733	9326.74
37	0.000173733	0.000200929	9326.74
38	0.000200929	0.000247419	9691.25
39	0.000247419	inf	9691.25
