time_index	left_time_boundary	right_time_boundary	lambda_00
0	-0	3.29796e-06	45.0827
1	3.29796e-06	6.68159e-06	1428.31
2	6.68159e-06	1.01555e-05	232.41
3	1.01555e-05	1.37245e-05	192.843
4	1.37245e-05	1.73941e-05	278.205
5	1.73941e-05	2.11701e-05	445.305
6	2.11701e-05	2.50588e-05	710.447
7	2.50588e-05	2.90672e-05	1093.6
8	2.90672e-05	3.32029e-05	1604.54
9	3.32029e-05	3.74742e-05	2238.31
10	3.74742e-05	4.18903e-05	3379.48
11	4.18903e-05	4.64614e-05	3379.48
12	4.64614e-05	5.11987e-05	5096.49
13	5.11987e-05	5.61149e-05	5096.49
14	5.61149e-05	6.12239e-05	6837.37
15	6.12239e-05	6.65414e-05	6837.37
16	6.65414e-05	7.20854e-05	8421.31
17	7.20854e-05	7.78758e-05	8421.31
18	7.78758e-05	8.39356e-05	9731.5
19	8.39356e-05	9.02911e-05	9731.5
20	9.02911e-05	9.69727e-05	10704.5
21	9.69727e-05	0.000104016	10704.5
22	0.000104016	0.000111461	11314.8
23	0.000111461	0.000119358	11314.8
24	0.000119358	0.000127765	11565.9
25	0.000127765	0.000136752	11565.9
26	0.000136752	0.000146406	11487.5
27	0.000146406	0.000156833	11487.5
28	0.000156833	0.000168167	11130.9
29	0.000168167	0.000180582	11130.9
30	0.000180582	0.000194307	10559.1
31	0.000194307	0.000209649	10559.1
32	0.000209649	0.000227044	9838.82
33	0.000227044	0.000247124	9838.82
34	0.000247124	0.000270873	9039.12
35	0.000270873	0.000299941	9039.12
36	0.000299941	0.000337415	8225.68
37	0.000337415	0.000390232	8225.68
38	0.000390232	0.000480523	7554.73
39	0.000480523	inf	7554.73
