time_index	left_time_boundary	right_time_boundary	lambda_00
0	-0	1.1541e-05	49.1317
1	1.1541e-05	2.33818e-05	5777.3
2	2.33818e-05	3.55383e-05	8789.67
3	3.55383e-05	4.8028e-05	8509.56
4	4.8028e-05	6.08695e-05	7538.91
5	6.08695e-05	7.40834e-05	6433.25
6	7.40834e-05	8.76917e-05	5354.79
7	8.76917e-05	0.000101719	4393.07
8	0.000101719	0.000116191	3588.87
9	0.000116191	0.000131138	2944.92
10	0.000131138	0.000146592	2230.19
11	0.000146592	0.000162588	2230.19
12	0.000162588	0.000179166	1632.23
13	0.000179166	0.00019637	1632.23
14	0.00019637	0.000214249	1276.3
15	0.000214249	0.000232857	1276.3
16	0.000232857	0.000252258	1056.71
17	0.000252258	0.000272521	1056.71
18	0.000272521	0.000293727	915.92
19	0.000293727	0.000315967	915.92
20	0.000315967	0.000339349	822.651
21	0.000339349	0.000363995	822.651
22	0.000363995	0.000390051	759.132
23	0.000390051	0.000417686	759.132
24	0.000417686	0.000447106	714.9
25	0.000447106	0.000478556	714.9
26	0.000478556	0.000512337	683.605
27	0.000512337	0.000548824	683.605
28	0.000548824	0.000588488	660.859
29	0.000588488	0.000631935	660.859
30	0.000631935	0.000679963	642.665
31	0.000679963	0.000733653	642.665
32	0.000733653	0.000794523	624.259
33	0.000794523	0.000864792	624.259
34	0.000864792	0.000947902	597.965
35	0.000947902	0.00104962	597.965
36	0.00104962	0.00118076	543.596
37	0.00118076	0.00136559	543.596
38	0.00136559	0.00168156	446.413
39	0.00168156	inf	446.413
