time_index	left_time_boundary	right_time_boundary	lambda_00
0	-0	2.18664e-06	0.000497804
1	2.18664e-06	4.43008e-06	1.98184
2	4.43008e-06	6.73335e-06	103.08
3	6.73335e-06	9.09973e-06	702.716
4	9.09973e-06	1.15328e-05	2000.42
5	1.15328e-05	1.40364e-05	3799.26
6	1.40364e-05	1.66147e-05	5832.42
7	1.66147e-05	1.92724e-05	7854.77
8	1.92724e-05	2.20144e-05	9665.46
9	2.20144e-05	2.48464e-05	11142.7
10	2.48464e-05	2.77744e-05	12656.3
11	2.77744e-05	3.08051e-05	12656.3
12	3.08051e-05	3.39461e-05	13676.3
13	3.39461e-05	3.72057e-05	13676.3
14	3.72057e-05	4.05931e-05	13908.4
15	4.05931e-05	4.41187e-05	13908.4
16	4.41187e-05	4.77945e-05	13658.1
17	4.77945e-05	5.16337e-05	13658.1
18	5.16337e-05	5.56515e-05	13115.9
19	5.56515e-05	5.98654e-05	13115.9
20	5.98654e-05	6.42955e-05	12424.2
21	6.42955e-05	6.89651e-05	12424.2
22	6.89651e-05	7.39018e-05	11699
23	7.39018e-05	7.91378e-05	11699
24	7.91378e-05	8.47118e-05	11025.9
25	8.47118e-05	9.06705e-05	11025.9
26	9.06705e-05	9.70711e-05	10459
27	9.70711e-05	0.000103984	10459
28	0.000103984	0.000111499	10025.3
29	0.000111499	0.000119731	10025.3
30	0.000119731	0.000128831	9739.66
31	0.000128831	0.000139003	9739.66
32	0.000139003	0.000150536	9625.45
33	0.000150536	0.00016385	9625.45
34	0.00016385	0.000179596	9727.45
35	0.000179596	0.000198869	9727.45
36	0.000198869	0.000223715	10050.9
37	0.000223715	0.000258734	10050.9
38	0.000258734	0.000318599	10142.3
39	0.000318599	inf	10142.3
