time_index	left_time_boundary	right_time_boundary	lambda_00
0	-0	3.63417e-06	36.5089
1	3.63417e-06	7.36274e-06	31127.4
2	7.36274e-06	1.11908e-05	45247.3
3	1.11908e-05	1.51237e-05	33834.4
4	1.51237e-05	1.91674e-05	26268
5	1.91674e-05	2.33283e-05	21329.8
6	2.33283e-05	2.76134e-05	17579.1
7	2.76134e-05	3.20305e-05	14506.5
8	3.20305e-05	3.65877e-05	11964.9
9	3.65877e-05	4.12944e-05	9892.87
10	4.12944e-05	4.61607e-05	7503.88
11	4.61607e-05	5.11978e-05	7503.88
12	5.11978e-05	5.64181e-05	5392.3
13	5.64181e-05	6.18354e-05	5392.3
14	6.18354e-05	6.74652e-05	4051.3
15	6.74652e-05	7.33249e-05	4051.3
16	7.33249e-05	7.9434e-05	3168.63
17	7.9434e-05	8.58147e-05	3168.63
18	8.58147e-05	9.24923e-05	2562.81
19	9.24923e-05	9.94957e-05	2562.81
20	9.94957e-05	0.000106858	2129.88
21	0.000106858	0.000114619	2129.88
22	0.000114619	0.000122824	1808.67
23	0.000122824	0.000131526	1808.67
24	0.000131526	0.00014079	1561.46
25	0.00014079	0.000150693	1561.46
26	0.000150693	0.000161331	1363.73
27	0.000161331	0.000172821	1363.73
28	0.000172821	0.00018531	1198.22
29	0.00018531	0.000198991	1198.22
30	0.000198991	0.000214115	1051.74
31	0.000214115	0.000231022	1051.74
32	0.000231022	0.000250189	912.872
33	0.000250189	0.000272316	912.872
34	0.000272316	0.000298487	769.791
35	0.000298487	0.000330518	769.791
36	0.000330518	0.000371812	605.035
37	0.000371812	0.000430013	605.035
38	0.000430013	0.000529509	447.602
39	0.000529509	inf	447.602
