time_index	left_time_boundary	right_time_boundary	lambda_00
0	-0	2.12022e-06	6636.68
1	2.12022e-06	4.29551e-06	42.2472
2	4.29551e-06	6.52882e-06	230.767
3	6.52882e-06	8.82333e-06	492.347
4	8.82333e-06	1.11825e-05	1094.27
5	1.11825e-05	1.361e-05	2192.57
6	1.361e-05	1.611e-05	3680.54
7	1.611e-05	1.8687e-05	5310.9
8	1.8687e-05	2.13457e-05	6886.48
9	2.13457e-05	2.40917e-05	8303.69
10	2.40917e-05	2.69307e-05	10040.9
11	2.69307e-05	2.98694e-05	10040.9
12	2.98694e-05	3.2915e-05	11673.6
13	3.2915e-05	3.60755e-05	11673.6
14	3.60755e-05	3.93601e-05	12616.4
15	3.93601e-05	4.27787e-05	12616.4
16	4.27787e-05	4.63428e-05	13039.4
17	4.63428e-05	5.00653e-05	13039.4
18	5.00653e-05	5.39611e-05	13097.8
19	5.39611e-05	5.8047e-05	13097.8
20	5.8047e-05	6.23425e-05	12918
21	6.23425e-05	6.68703e-05	12918
22	6.68703e-05	7.1657e-05	12606.3
23	7.1657e-05	7.6734e-05	12606.3
24	7.6734e-05	8.21387e-05	12246
25	8.21387e-05	8.79165e-05	12246
26	8.79165e-05	9.41226e-05	11886.3
27	9.41226e-05	0.000100826	11886.3
28	0.000100826	0.000108112	11546.2
29	0.000108112	0.000116094	11546.2
30	0.000116094	0.000124917	11227.7
31	0.000124917	0.000134781	11227.7
32	0.000134781	0.000145963	10925.6
33	0.000145963	0.000158873	10925.6
34	0.000158873	0.000174141	10622.3
35	0.000174141	0.000192828	10622.3
36	0.000192828	0.00021692	10260.5
37	0.00021692	0.000250875	10260.5
38	0.000250875	0.000308922	9718
39	0.000308922	inf	9718
