time_index	left_time_boundary	right_time_boundary	lambda_00
0	-0	3.86612e-06	6.32936
1	3.86612e-06	7.83266e-06	12466.8
2	7.83266e-06	1.1905e-05	35636.6
3	1.1905e-05	1.60889e-05	37455.7
4	1.60889e-05	2.03907e-05	30276.2
5	2.03907e-05	2.48172e-05	23309.8
6	2.48172e-05	2.93758e-05	18140.3
7	2.93758e-05	3.40748e-05	14408.8
8	3.40748e-05	3.89229e-05	11648
9	3.89229e-05	4.393e-05	9548.32
10	4.393e-05	4.91069e-05	7208.62
11	4.91069e-05	5.44655e-05	7208.62
12	5.44655e-05	6.00189e-05	5135.37
13	6.00189e-05	6.5782e-05	5135.37
14	6.5782e-05	7.17711e-05	3791.17
15	7.17711e-05	7.80048e-05	3791.17
16	7.80048e-05	8.45038e-05	2896.48
17	8.45038e-05	9.12917e-05	2896.48
18	9.12917e-05	9.83955e-05	2285.98
19	9.83955e-05	0.000105846	2285.98
20	0.000105846	0.000113679	1858.24
21	0.000113679	0.000121935	1858.24
22	0.000121935	0.000130663	1549.81
23	0.000130663	0.000139921	1549.81
24	0.000139921	0.000149776	1320.42
25	0.000149776	0.000160311	1320.42
26	0.000160311	0.000171628	1143.83
27	0.000171628	0.000183851	1143.83
28	0.000183851	0.000197138	1002.23
29	0.000197138	0.000211692	1002.23
30	0.000211692	0.000227781	882.746
31	0.000227781	0.000245767	882.746
32	0.000245767	0.000266157	774.751
33	0.000266157	0.000289697	774.751
34	0.000289697	0.000317538	667.097
35	0.000317538	0.000351613	667.097
36	0.000351613	0.000395543	541.949
37	0.000395543	0.000457458	541.949
38	0.000457458	0.000563304	413.798
39	0.000563304	inf	413.798
