time_index	left_time_boundary	right_time_boundary	lambda_00
0	-0	1.5251e-05	1835.54
1	1.5251e-05	3.08981e-05	6562.51
2	3.08981e-05	4.69625e-05	5745.85
3	4.69625e-05	6.34672e-05	4370.25
4	6.34672e-05	8.04367e-05	3312.73
5	8.04367e-05	9.78983e-05	2550.17
6	9.78983e-05	0.000115881	2014.65
7	0.000115881	0.000134417	1644.72
8	0.000134417	0.000153542	1391.75
9	0.000153542	0.000173294	1219.83
10	0.000173294	0.000193716	1061.28
11	0.000193716	0.000214854	1061.28
12	0.000214854	0.000236761	951.636
13	0.000236761	0.000259495	951.636
14	0.000259495	0.000283121	899.533
15	0.000283121	0.000307712	899.533
16	0.000307712	0.000333349	872.065
17	0.000333349	0.000360126	872.065
18	0.000360126	0.000388148	855.513
19	0.000388148	0.000417539	855.513
20	0.000417539	0.000448437	845.154
21	0.000448437	0.000481006	845.154
22	0.000481006	0.000515437	839.958
23	0.000515437	0.000551956	839.958
24	0.000551956	0.000590833	840.235
25	0.000590833	0.000632393	840.235
26	0.000632393	0.000677034	846.185
27	0.000677034	0.00072525	846.185
28	0.00072525	0.000777664	856.88
29	0.000777664	0.000835077	856.88
30	0.000835077	0.000898544	869.839
31	0.000898544	0.000969495	869.839
32	0.000969495	0.00104993	881.41
33	0.00104993	0.00114279	881.41
34	0.00114279	0.00125262	886.722
35	0.00125262	0.00138703	886.722
36	0.00138703	0.00156033	869.957
37	0.00156033	0.00180457	869.957
38	0.00180457	0.00222211	785.008
39	0.00222211	inf	785.008
