time_index	left_time_boundary	right_time_boundary	lambda_00
0	-0	2.43329e-06	11426.8
1	2.43329e-06	4.92979e-06	22184.6
2	4.92979e-06	7.49286e-06	3557.06
3	7.49286e-06	1.01262e-05	2434.3
4	1.01262e-05	1.28337e-05	3131.16
5	1.28337e-05	1.56197e-05	4411.3
6	1.56197e-05	1.84888e-05	5766.32
7	1.84888e-05	2.14463e-05	6881.63
8	2.14463e-05	2.44976e-05	7656
9	2.44976e-05	2.7649e-05	8122.9
10	2.7649e-05	3.09073e-05	8408.96
11	3.09073e-05	3.42799e-05	8408.96
12	3.42799e-05	3.77752e-05	8429.53
13	3.77752e-05	4.14024e-05	8429.53
14	4.14024e-05	4.51719e-05	8301.42
15	4.51719e-05	4.90953e-05	8301.42
16	4.90953e-05	5.31857e-05	8153.56
17	5.31857e-05	5.7458e-05	8153.56
18	5.7458e-05	6.1929e-05	8032.18
19	6.1929e-05	6.66182e-05	8032.18
20	6.66182e-05	7.1548e-05	7964.18
21	7.1548e-05	7.67444e-05	7964.18
22	7.67444e-05	8.22378e-05	7972.52
23	8.22378e-05	8.80645e-05	7972.52
24	8.80645e-05	9.42672e-05	8077.31
25	9.42672e-05	0.000100898	8077.31
26	0.000100898	0.000108021	8295.43
27	0.000108021	0.000115714	8295.43
28	0.000115714	0.000124076	8638.11
29	0.000124076	0.000133236	8638.11
30	0.000133236	0.000143363	9101.87
31	0.000143363	0.000154683	9101.87
32	0.000154683	0.000167516	9650.74
33	0.000167516	0.000182332	9650.74
34	0.000182332	0.000199855	10173.9
35	0.000199855	0.000221301	10173.9
36	0.000221301	0.00024895	10343.4
37	0.00024895	0.000287919	10343.4
38	0.000287919	0.000354537	9542.59
39	0.000354537	inf	9542.59
