time_index	left_time_boundary	right_time_boundary	lambda_00
0	-0	1.94183e-05	980.375
1	1.94183e-05	3.9341e-05	5391.17
2	3.9341e-05	5.9795e-05	4371.81
3	5.9795e-05	8.08095e-05	2848.24
4	8.08095e-05	0.000102416	1996.17
5	0.000102416	0.000124649	1516.24
6	0.000124649	0.000147546	1234.66
7	0.000147546	0.000171147	1065.4
8	0.000171147	0.000195498	961.939
9	0.000195498	0.000220647	898.229
10	0.000220647	0.000246649	846.062
11	0.000246649	0.000273563	846.062
12	0.000273563	0.000301456	813.611
13	0.000301456	0.000330402	813.611
14	0.000330402	0.000360484	800.191
15	0.000360484	0.000391794	800.191
16	0.000391794	0.000424436	796.974
17	0.000424436	0.00045853	796.974
18	0.00045853	0.00049421	801.895
19	0.00049421	0.000531631	801.895
20	0.000531631	0.000570972	813.472
21	0.000570972	0.00061244	813.472
22	0.00061244	0.00065628	829.877
23	0.00065628	0.000702778	829.877
24	0.000702778	0.000752277	849.547
25	0.000752277	0.000805194	849.547
26	0.000805194	0.000862033	871.52
27	0.000862033	0.000923424	871.52
28	0.000923424	0.00099016	895.196
29	0.00099016	0.00106326	895.196
30	0.00106326	0.00114407	919.847
31	0.00114407	0.00123441	919.847
32	0.00123441	0.00133682	943.269
33	0.00133682	0.00145506	943.269
34	0.00145506	0.00159489	957.833
35	0.00159489	0.00176604	957.833
36	0.00176604	0.00198669	937.735
37	0.00198669	0.00229767	937.735
38	0.00229767	0.0028293	838.515
39	0.0028293	inf	838.515
