time_index	left_time_boundary	right_time_boundary	lambda_00
0	-0	3.45074e-06	178.843
1	3.45074e-06	6.99112e-06	40520.5
2	6.99112e-06	1.06259e-05	44263.8
3	1.06259e-05	1.43603e-05	34640.7
4	1.43603e-05	1.81999e-05	27952.6
5	1.81999e-05	2.21508e-05	22930.2
6	2.21508e-05	2.62197e-05	18807.8
7	2.62197e-05	3.04138e-05	15404.6
8	3.04138e-05	3.4741e-05	12638.2
9	3.4741e-05	3.92102e-05	10417.1
10	3.92102e-05	4.38309e-05	7868.48
11	4.38309e-05	4.86137e-05	7868.48
12	4.86137e-05	5.35705e-05	5597.42
13	5.35705e-05	5.87144e-05	5597.42
14	5.87144e-05	6.40601e-05	4135.59
15	6.40601e-05	6.9624e-05	4135.59
16	6.9624e-05	7.54247e-05	3165.94
17	7.54247e-05	8.14834e-05	3165.94
18	8.14834e-05	8.78239e-05	2500.02
19	8.78239e-05	9.44738e-05	2500.02
20	9.44738e-05	0.000101465	2027.07
21	0.000101465	0.000108834	2027.07
22	0.000108834	0.000116625	1681.08
23	0.000116625	0.000124888	1681.08
24	0.000124888	0.000133684	1420.97
25	0.000133684	0.000143088	1420.97
26	0.000143088	0.000153188	1219.65
27	0.000153188	0.000164098	1219.65
28	0.000164098	0.000175957	1058.01
29	0.000175957	0.000188948	1058.01
30	0.000188948	0.000203308	921.514
31	0.000203308	0.000219361	921.514
32	0.000219361	0.000237561	798.133
33	0.000237561	0.000258572	798.133
34	0.000258572	0.000283422	676.078
35	0.000283422	0.000313835	676.078
36	0.000313835	0.000353046	539.068
37	0.000353046	0.000408309	539.068
38	0.000408309	0.000502783	407.816
39	0.000502783	inf	407.816
