time_index	left_time_boundary	right_time_boundary	lambda_00
0	-0	2.52234e-06	3328.55
1	2.52234e-06	5.11021e-06	8.86204
2	5.11021e-06	7.7671e-06	294.423
3	7.7671e-06	1.04968e-05	2075.96
4	1.04968e-05	1.33034e-05	5936.06
5	1.33034e-05	1.61913e-05	10418
6	1.61913e-05	1.91655e-05	13878
7	1.91655e-05	2.22312e-05	15653.3
8	2.22312e-05	2.53942e-05	15967.2
9	2.53942e-05	2.8661e-05	15374.2
10	2.8661e-05	3.20385e-05	13756.2
11	3.20385e-05	3.55346e-05	13756.2
12	3.55346e-05	3.91578e-05	11596.1
13	3.91578e-05	4.29177e-05	11596.1
14	4.29177e-05	4.68252e-05	9833.28
15	4.68252e-05	5.08922e-05	9833.28
16	5.08922e-05	5.51323e-05	8502.58
17	5.51323e-05	5.95609e-05	8502.58
18	5.95609e-05	6.41955e-05	7536.65
19	6.41955e-05	6.90564e-05	7536.65
20	6.90564e-05	7.41666e-05	6868.14
21	7.41666e-05	7.95531e-05	6868.14
22	7.95531e-05	8.52477e-05	6441.35
23	8.52477e-05	9.12876e-05	6441.35
24	9.12876e-05	9.77174e-05	6216.34
25	9.77174e-05	0.000104591	6216.34
26	0.000104591	0.000111974	6169.43
27	0.000111974	0.000119949	6169.43
28	0.000119949	0.000128617	6289.92
29	0.000128617	0.000138113	6289.92
30	0.000138113	0.00014861	6573.64
31	0.00014861	0.000160344	6573.64
32	0.000160344	0.000173647	7011.31
33	0.000173647	0.000189005	7011.31
34	0.000189005	0.000207169	7567.74
35	0.000207169	0.0002294	7567.74
36	0.0002294	0.000258061	8103.13
37	0.000258061	0.000298457	8103.13
38	0.000298457	0.000367513	8017.26
39	0.000367513	inf	8017.26
