time_index	left_time_boundary	right_time_boundary	lambda_00
0	-0	2.30808e-06	0.0032406
1	2.30808e-06	4.67611e-06	11.5402
2	4.67611e-06	7.1073e-06	718.983
3	7.1073e-06	9.6051e-06	3971.59
4	9.6051e-06	1.21733e-05	8312.58
5	1.21733e-05	1.48159e-05	11839.9
6	1.48159e-05	1.75374e-05	14411.7
7	1.75374e-05	2.03427e-05	16177.3
8	2.03427e-05	2.3237e-05	17138
9	2.3237e-05	2.62263e-05	17303
10	2.62263e-05	2.93169e-05	16266.7
11	2.93169e-05	3.2516e-05	16266.7
12	3.2516e-05	3.58314e-05	13870.8
13	3.58314e-05	3.92719e-05	13870.8
14	3.92719e-05	4.28475e-05	11416.3
15	4.28475e-05	4.6569e-05	11416.3
16	4.6569e-05	5.04489e-05	9475.04
17	5.04489e-05	5.45013e-05	9475.04
18	5.45013e-05	5.87422e-05	8100.94
19	5.87422e-05	6.31902e-05	8100.94
20	6.31902e-05	6.78663e-05	7186.93
21	6.78663e-05	7.27953e-05	7186.93
22	7.27953e-05	7.80061e-05	6618.67
23	7.80061e-05	8.35328e-05	6618.67
24	8.35328e-05	8.94164e-05	6310.44
25	8.94164e-05	9.57061e-05	6310.44
26	9.57061e-05	0.000102462	6206.16
27	0.000102462	0.000109759	6206.16
28	0.000109759	0.000117691	6272.79
29	0.000117691	0.00012638	6272.79
30	0.00012638	0.000135985	6496
31	0.000135985	0.000146723	6496
32	0.000146723	0.000158896	6878.23
33	0.000158896	0.000172949	6878.23
34	0.000172949	0.00018957	7433.29
35	0.00018957	0.000209913	7433.29
36	0.000209913	0.000236139	8152.66
37	0.000236139	0.000273103	8152.66
38	0.000273103	0.000336293	8636.93
39	0.000336293	inf	8636.93
