time_index	left_time_boundary	right_time_boundary	lambda_00
0	-0	1.8888e-06	5518.05
1	1.8888e-06	3.82666e-06	8475.71
2	3.82666e-06	5.8162e-06	478.834
3	5.8162e-06	7.86026e-06	1311.25
4	7.86026e-06	9.9619e-06	3511.88
5	9.9619e-06	1.21245e-05	6852.89
6	1.21245e-05	1.43516e-05	10741.4
7	1.43516e-05	1.66473e-05	14472.7
8	1.66473e-05	1.90158e-05	17404.7
9	1.90158e-05	2.14621e-05	19194.3
10	2.14621e-05	2.39912e-05	19733.9
11	2.39912e-05	2.66092e-05	19733.9
12	2.66092e-05	2.93223e-05	18234.8
13	2.93223e-05	3.21379e-05	18234.8
14	3.21379e-05	3.50639e-05	15862.8
15	3.50639e-05	3.81093e-05	15862.8
16	3.81093e-05	4.12844e-05	13639
17	4.12844e-05	4.46007e-05	13639
18	4.46007e-05	4.80712e-05	11848.9
19	4.80712e-05	5.17112e-05	11848.9
20	5.17112e-05	5.55378e-05	10483.2
21	5.55378e-05	5.95714e-05	10483.2
22	5.95714e-05	6.38356e-05	9464.53
23	6.38356e-05	6.83584e-05	9464.53
24	6.83584e-05	7.31732e-05	8728.21
25	7.31732e-05	7.83203e-05	8728.21
26	7.83203e-05	8.3849e-05	8237.18
27	8.3849e-05	8.98205e-05	8237.18
28	8.98205e-05	9.63118e-05	7977.46
29	9.63118e-05	0.000103422	7977.46
30	0.000103422	0.000111283	7948.96
31	0.000111283	0.00012007	7948.96
32	0.00012007	0.000130031	8154.15
33	0.000130031	0.000141532	8154.15
34	0.000141532	0.000155133	8579.47
35	0.000155133	0.000171781	8579.47
36	0.000171781	0.000193243	9166.02
37	0.000193243	0.000223492	9166.02
38	0.000223492	0.000275203	9512.68
39	0.000275203	inf	9512.68
