time_index	left_time_boundary	right_time_boundary	lambda_00
0	-0	1.58157e-05	115.942
1	1.58157e-05	3.20422e-05	6832.9
2	3.20422e-05	4.87015e-05	6739.81
3	4.87015e-05	6.58172e-05	5361.74
4	6.58172e-05	8.34152e-05	4063.79
5	8.34152e-05	0.000101523	3111.55
6	0.000101523	0.000120172	2448.35
7	0.000120172	0.000139395	1993.2
8	0.000139395	0.000159228	1681.66
9	0.000159228	0.000179711	1466.56
10	0.000179711	0.000200889	1256.58
11	0.000200889	0.00022281	1256.58
12	0.00022281	0.000245528	1091.44
13	0.000245528	0.000269104	1091.44
14	0.000269104	0.000293605	992.82
15	0.000293605	0.000319106	992.82
16	0.000319106	0.000345692	925.327
17	0.000345692	0.00037346	925.327
18	0.00037346	0.000402521	873.061
19	0.000402521	0.000432999	873.061
20	0.000432999	0.000465041	829.969
21	0.000465041	0.000498816	829.969
22	0.000498816	0.000534522	794.177
23	0.000534522	0.000572394	794.177
24	0.000572394	0.00061271	765.006
25	0.00061271	0.000655809	765.006
26	0.000655809	0.000702103	741.565
27	0.000702103	0.000752105	741.565
28	0.000752105	0.00080646	722.777
29	0.00080646	0.000865998	722.777
30	0.000865998	0.000931816	707.648
31	0.000931816	0.00100539	707.648
32	0.00100539	0.00108881	693.787
33	0.00108881	0.0011851	693.787
34	0.0011851	0.001299	672.46
35	0.001299	0.00143839	672.46
36	0.00143839	0.0016181	616.967
37	0.0016181	0.00187139	616.967
38	0.00187139	0.00230439	508.256
39	0.00230439	inf	508.256
