time_index	left_time_boundary	right_time_boundary	lambda_00
0	-0	3.59447e-06	122.881
1	3.59447e-06	7.28232e-06	33875.1
2	7.28232e-06	1.10685e-05	42931.3
3	1.10685e-05	1.49585e-05	34192
4	1.49585e-05	1.8958e-05	26811.5
5	1.8958e-05	2.30735e-05	21591.7
6	2.30735e-05	2.73118e-05	17704.1
7	2.73118e-05	3.16806e-05	14645
8	3.16806e-05	3.61881e-05	12159.8
9	3.61881e-05	4.08434e-05	10113.3
10	4.08434e-05	4.56566e-05	7660.88
11	4.56566e-05	5.06386e-05	7660.88
12	5.06386e-05	5.58019e-05	5388.48
13	5.58019e-05	6.116e-05	5388.48
14	6.116e-05	6.67284e-05	3902.18
15	6.67284e-05	7.2524e-05	3902.18
16	7.2524e-05	7.85664e-05	2932.55
17	7.85664e-05	8.48774e-05	2932.55
18	8.48774e-05	9.14821e-05	2290.72
19	9.14821e-05	9.8409e-05	2290.72
20	9.8409e-05	0.000105691	1855.14
21	0.000105691	0.000113367	1855.14
22	0.000113367	0.000121482	1550.31
23	0.000121482	0.00013009	1550.31
24	0.00013009	0.000139252	1329.4
25	0.000139252	0.000149048	1329.4
26	0.000149048	0.000159569	1162.27
27	0.000159569	0.000170933	1162.27
28	0.000170933	0.000183286	1028.57
29	0.000183286	0.000196818	1028.57
30	0.000196818	0.000211776	913.445
31	0.000211776	0.000228499	913.445
32	0.000228499	0.000247457	804.888
33	0.000247457	0.000269342	804.888
34	0.000269342	0.000295227	691.049
35	0.000295227	0.000326908	691.049
36	0.000326908	0.000367751	554.823
37	0.000367751	0.000425317	554.823
38	0.000425317	0.000523726	418.208
39	0.000523726	inf	418.208
