time_index	left_time_boundary	right_time_boundary	lambda_00
0	-0	2.45533e-06	0.0020848
1	2.45533e-06	4.97445e-06	1.90838
2	4.97445e-06	7.56075e-06	264.333
3	7.56075e-06	1.02179e-05	2219.45
4	1.02179e-05	1.29499e-05	6237.06
5	1.29499e-05	1.57612e-05	10658.5
6	1.57612e-05	1.86563e-05	14050.9
7	1.86563e-05	2.16406e-05	15960.2
8	2.16406e-05	2.47196e-05	16589.9
9	2.47196e-05	2.78996e-05	16359.2
10	2.78996e-05	3.11873e-05	15145.4
11	3.11873e-05	3.45905e-05	15145.4
12	3.45905e-05	3.81175e-05	13155.6
13	3.81175e-05	4.17775e-05	13155.6
14	4.17775e-05	4.55812e-05	11269.8
15	4.55812e-05	4.95401e-05	11269.8
16	4.95401e-05	5.36676e-05	9679.45
17	5.36676e-05	5.79785e-05	9679.45
18	5.79785e-05	6.24901e-05	8417.17
19	6.24901e-05	6.72218e-05	8417.17
20	6.72218e-05	7.21962e-05	7476.41
21	7.21962e-05	7.74397e-05	7476.41
22	7.74397e-05	8.29829e-05	6832.99
23	8.29829e-05	8.88623e-05	6832.99
24	8.88623e-05	9.51213e-05	6453.62
25	9.51213e-05	0.000101812	6453.62
26	0.000101812	0.000108999	6303.14
27	0.000108999	0.000116762	6303.14
28	0.000116762	0.0001252	6350.5
29	0.0001252	0.000134444	6350.5
30	0.000134444	0.000144661	6570.38
31	0.000144661	0.000156084	6570.38
32	0.000156084	0.000169034	6941.3
33	0.000169034	0.000183984	6941.3
34	0.000183984	0.000201665	7433.64
35	0.000201665	0.000223306	7433.64
36	0.000223306	0.000251205	7934.1
37	0.000251205	0.000290528	7934.1
38	0.000290528	0.000357749	7876.71
39	0.000357749	inf	7876.71
