time_index	left_time_boundary	right_time_boundary	lambda_00
0	-0	2.5015e-06	0.00175966
1	2.5015e-06	5.06799e-06	15.8109
2	5.06799e-06	7.70292e-06	710.682
3	7.70292e-06	1.041e-05	3156.67
4	1.041e-05	1.31934e-05	6816.81
5	1.31934e-05	1.60575e-05	10590.4
6	1.60575e-05	1.90071e-05	13648.1
7	1.90071e-05	2.20475e-05	15612.9
8	2.20475e-05	2.51844e-05	16462.7
9	2.51844e-05	2.84242e-05	16395.9
10	2.84242e-05	3.17738e-05	15144.8
11	3.17738e-05	3.52409e-05	15144.8
12	3.52409e-05	3.88342e-05	12846.5
13	3.88342e-05	4.25631e-05	12846.5
14	4.25631e-05	4.64383e-05	10688.7
15	4.64383e-05	5.04716e-05	10688.7
16	5.04716e-05	5.46767e-05	9003.36
17	5.46767e-05	5.90687e-05	9003.36
18	5.90687e-05	6.36651e-05	7784.36
19	6.36651e-05	6.84858e-05	7784.36
20	6.84858e-05	7.35537e-05	6946.99
21	7.35537e-05	7.88958e-05	6946.99
22	7.88958e-05	8.45433e-05	6409.23
23	8.45433e-05	9.05332e-05	6409.23
24	9.05332e-05	9.69099e-05	6108.31
25	9.69099e-05	0.000103727	6108.31
26	0.000103727	0.000111049	6000.03
27	0.000111049	0.000118957	6000.03
28	0.000118957	0.000127554	6055.47
29	0.000127554	0.000136972	6055.47
30	0.000136972	0.000147382	6258.54
31	0.000147382	0.000159019	6258.54
32	0.000159019	0.000172212	6606.61
33	0.000172212	0.000187443	6606.61
34	0.000187443	0.000205457	7109.67
35	0.000205457	0.000227505	7109.67
36	0.000227505	0.000255929	7743.7
37	0.000255929	0.000295991	7743.7
38	0.000295991	0.000364476	8013.98
39	0.000364476	inf	8013.98
