time_index	left_time_boundary	right_time_boundary	lambda_00
0	-0	2.36618e-06	11.8153
1	2.36618e-06	4.79382e-06	1939.81
2	4.79382e-06	7.2862e-06	1587.01
3	7.2862e-06	9.84688e-06	3274.46
4	9.84688e-06	1.24797e-05	6315.8
5	1.24797e-05	1.51888e-05	9683.77
6	1.51888e-05	1.79789e-05	12585.7
7	1.79789e-05	2.08548e-05	14694.9
8	2.08548e-05	2.3822e-05	15951.8
9	2.3822e-05	2.68865e-05	16426.7
10	2.68865e-05	3.00549e-05	15918.2
11	3.00549e-05	3.33345e-05	15918.2
12	3.33345e-05	3.67333e-05	14078
13	3.67333e-05	4.02605e-05	14078
14	4.02605e-05	4.3926e-05	11846.1
15	4.3926e-05	4.77412e-05	11846.1
16	4.77412e-05	5.17188e-05	9887.57
17	5.17188e-05	5.58732e-05	9887.57
18	5.58732e-05	6.02209e-05	8409.83
19	6.02209e-05	6.47808e-05	8409.83
20	6.47808e-05	6.95746e-05	7382.98
21	6.95746e-05	7.46277e-05	7382.98
22	7.46277e-05	7.99696e-05	6712.77
23	7.99696e-05	8.56356e-05	6712.77
24	8.56356e-05	9.16673e-05	6315.92
25	9.16673e-05	9.81153e-05	6315.92
26	9.81153e-05	0.000105041	6136.42
27	0.000105041	0.000112522	6136.42
28	0.000112522	0.000120654	6142.46
29	0.000120654	0.000129562	6142.46
30	0.000129562	0.000139408	6319.94
31	0.000139408	0.000150416	6319.94
32	0.000150416	0.000162896	6667.17
33	0.000162896	0.000177303	6667.17
34	0.000177303	0.000194342	7183.21
35	0.000194342	0.000215197	7183.21
36	0.000215197	0.000242084	7815.72
37	0.000242084	0.000279978	7815.72
38	0.000279978	0.000344759	8045.92
39	0.000344759	inf	8045.92
