time_index	left_time_boundary	right_time_boundary	lambda_00
0	-0	2.27267e-06	0.27648
1	2.27267e-06	4.60438e-06	1333.86
2	4.60438e-06	6.99828e-06	265.709
3	6.99828e-06	9.45777e-06	398.613
4	9.45777e-06	1.19866e-05	1319.67
5	1.19866e-05	1.45886e-05	3553.85
6	1.45886e-05	1.72684e-05	6948.46
7	1.72684e-05	2.00307e-05	10645.4
8	2.00307e-05	2.28806e-05	13785.4
9	2.28806e-05	2.5824e-05	15915.9
10	2.5824e-05	2.88672e-05	17097.9
11	2.88672e-05	3.20172e-05	17097.9
12	3.20172e-05	3.52818e-05	16360.6
13	3.52818e-05	3.86696e-05	16360.6
14	3.86696e-05	4.21903e-05	14450.8
15	4.21903e-05	4.58547e-05	14450.8
16	4.58547e-05	4.96751e-05	12430.2
17	4.96751e-05	5.36653e-05	12430.2
18	5.36653e-05	5.78412e-05	10706.9
19	5.78412e-05	6.22209e-05	10706.9
20	6.22209e-05	6.68253e-05	9368.13
21	6.68253e-05	7.16787e-05	9368.13
22	7.16787e-05	7.68096e-05	8389.98
23	7.68096e-05	8.22516e-05	8389.98
24	8.22516e-05	8.80449e-05	7726.19
25	8.80449e-05	9.42381e-05	7726.19
26	9.42381e-05	0.000100891	7336.52
27	0.000100891	0.000108076	7336.52
28	0.000108076	0.000115886	7194.24
29	0.000115886	0.000124442	7194.24
30	0.000124442	0.0001339	7288.54
31	0.0001339	0.000144473	7288.54
32	0.000144473	0.000156459	7621.94
33	0.000156459	0.000170297	7621.94
34	0.000170297	0.000186663	8191.22
35	0.000186663	0.000206693	8191.22
36	0.000206693	0.000232517	8905.09
37	0.000232517	0.000268914	8905.09
38	0.000268914	0.000331135	9213.89
39	0.000331135	inf	9213.89
