time_index	left_time_boundary	right_time_boundary	lambda_00
0	-0	2.07061e-06	20746.2
1	2.07061e-06	4.195e-06	12.397
2	4.195e-06	6.37605e-06	34.119
3	6.37605e-06	8.61687e-06	137.965
4	8.61687e-06	1.09208e-05	499.543
5	1.09208e-05	1.32915e-05	1352.98
6	1.32915e-05	1.57331e-05	2760.35
7	1.57331e-05	1.82497e-05	4527.49
8	1.82497e-05	2.08463e-05	6359.38
9	2.08463e-05	2.3528e-05	8019.9
10	2.3528e-05	2.63006e-05	9917.98
11	2.63006e-05	2.91705e-05	9917.98
12	2.91705e-05	3.21448e-05	11414.5
13	3.21448e-05	3.52314e-05	11414.5
14	3.52314e-05	3.84391e-05	12009.4
15	3.84391e-05	4.17777e-05	12009.4
16	4.17777e-05	4.52584e-05	12097.3
17	4.52584e-05	4.88939e-05	12097.3
18	4.88939e-05	5.26985e-05	11949.1
19	5.26985e-05	5.66888e-05	11949.1
20	5.66888e-05	6.08838e-05	11718
21	6.08838e-05	6.53056e-05	11718
22	6.53056e-05	6.99803e-05	11482.1
23	6.99803e-05	7.49385e-05	11482.1
24	7.49385e-05	8.02167e-05	11279.5
25	8.02167e-05	8.58593e-05	11279.5
26	8.58593e-05	9.19202e-05	11128.7
27	9.19202e-05	9.84664e-05	11128.7
28	9.84664e-05	0.000105583	11038.2
29	0.000105583	0.000113378	11038.2
30	0.000113378	0.000121994	11010
31	0.000121994	0.000131627	11010
32	0.000131627	0.000142548	11033.9
33	0.000142548	0.000155155	11033.9
34	0.000155155	0.000170066	11057.8
35	0.000170066	0.000188316	11057.8
36	0.000188316	0.000211844	10870.1
37	0.000211844	0.000245005	10870.1
38	0.000245005	0.000301694	10069.7
39	0.000301694	inf	10069.7
