time_index	left_time_boundary	right_time_boundary	lambda_00
0	-0	3.45584e-06	294.408
1	3.45584e-06	7.00145e-06	37366.4
2	7.00145e-06	1.06416e-05	41650.7
3	1.06416e-05	1.43815e-05	34964.7
4	1.43815e-05	1.82268e-05	29074.8
5	1.82268e-05	2.21836e-05	23687.9
6	2.21836e-05	2.62585e-05	19039.2
7	2.62585e-05	3.04587e-05	15270.3
8	3.04587e-05	3.47924e-05	12297.2
9	3.47924e-05	3.92681e-05	9975.8
10	3.92681e-05	4.38957e-05	7397.96
11	4.38957e-05	4.86856e-05	7397.96
12	4.86856e-05	5.36497e-05	5192.5
13	5.36497e-05	5.88012e-05	5192.5
14	5.88012e-05	6.41548e-05	3833.79
15	6.41548e-05	6.97269e-05	3833.79
16	6.97269e-05	7.55362e-05	2962.8
17	7.55362e-05	8.16038e-05	2962.8
18	8.16038e-05	8.79537e-05	2378.15
19	8.79537e-05	9.46135e-05	2378.15
20	9.46135e-05	0.000101615	1967.84
21	0.000101615	0.000108995	1967.84
22	0.000108995	0.000116797	1668.18
23	0.000116797	0.000125072	1668.18
24	0.000125072	0.000133882	1440.92
25	0.000133882	0.000143299	1440.92
26	0.000143299	0.000153415	1261.36
27	0.000153415	0.00016434	1261.36
28	0.00016434	0.000176217	1112.27
29	0.000176217	0.000189227	1112.27
30	0.000189227	0.000203609	980.756
31	0.000203609	0.000219686	980.756
32	0.000219686	0.000237913	856.01
33	0.000237913	0.000258954	856.01
34	0.000258954	0.00028384	727.106
35	0.00028384	0.000314299	727.106
36	0.000314299	0.000353567	577.736
37	0.000353567	0.000408913	577.736
38	0.000408913	0.000503526	432.962
39	0.000503526	inf	432.962
