time_index	left_time_boundary	right_time_boundary	lambda_00
0	-0	1.53914e-05	2348.99
1	1.53914e-05	3.11826e-05	4517.14
2	3.11826e-05	4.73949e-05	6265.55
3	4.73949e-05	6.40515e-05	5129.4
4	6.40515e-05	8.11774e-05	3688.77
5	8.11774e-05	9.87997e-05	2669.58
6	9.87997e-05	0.000116948	2013.96
7	0.000116948	0.000135655	1591.12
8	0.000135655	0.000154956	1313.13
9	0.000154956	0.00017489	1127.39
10	0.00017489	0.000195499	956.875
11	0.000195499	0.000216832	956.875
12	0.000216832	0.000238941	840.117
13	0.000238941	0.000261885	840.117
14	0.000261885	0.000285728	788.685
15	0.000285728	0.000310545	788.685
16	0.000310545	0.000336418	768.922
17	0.000336418	0.000363441	768.922
18	0.000363441	0.000391722	765.59
19	0.000391722	0.000421383	765.59
20	0.000421383	0.000452566	772.416
21	0.000452566	0.000485435	772.416
22	0.000485435	0.000520183	787.084
23	0.000520183	0.000557038	787.084
24	0.000557038	0.000596273	808.407
25	0.000596273	0.000638215	808.407
26	0.000638215	0.000683268	835.166
27	0.000683268	0.000731928	835.166
28	0.000731928	0.000784824	865.68
29	0.000784824	0.000842766	865.68
30	0.000842766	0.000906818	897.502
31	0.000906818	0.000978421	897.502
32	0.000978421	0.0010596	926.899
33	0.0010596	0.00115331	926.899
34	0.00115331	0.00126415	947.23
35	0.00126415	0.0013998	947.23
36	0.0013998	0.00157469	937.619
37	0.00157469	0.00182119	937.619
38	0.00182119	0.00224257	851.92
39	0.00224257	inf	851.92
