POP	CZ	FR	PO	NC	MA	QU	WN	SW	NN
CZ	NA	0.140751	NA	NA	1.27388e-07	1.97984e-12	3.06141e-07	0.0715048	0.000200817
FR	0.140751	NA	NA	NA	2.20842e-08	1.82565e-11	3.52629e-09	0.022015	8.0124e-11
PO	NA	NA	NA	0.182464	0.00623644	6.64475e-13	0.0068891	0.113102	0.0344435
NC	NA	NA	0.182464	NA	0.0800921	0.0495261	0.00151245	NA	0.00906801
MA	1.27388e-07	2.20842e-08	0.00623644	0.0800921	NA	NA	0.000184929	0.000321799	0.029312
QU	1.97984e-12	1.82565e-11	6.64475e-13	0.0495261	NA	NA	0.240525	1.477e-07	0.00795361
WN	3.06141e-07	3.52629e-09	0.0068891	0.00151245	0.000184929	0.240525	NA	0.00777375	NA
SW	0.0715048	0.022015	0.113102	NA	0.000321799	1.477e-07	0.00777375	NA	NA
NN	0.000200817	8.0124e-11	0.0344435	0.00906801	0.029312	0.00795361	NA	NA	NA
