Sample	posterior	likelihood	prior	lambda	treeHeightLogger	clockRate
0	-119886.63645727982	-66511.14763168736	-53375.48882559247	0.1	1.3E-9	0.01
750	-36470.20720548191	-25154.64701964	-11315.560185841909	448.37610093055923	2.851857834063968E-4	0.8521920103674523
1500	-16104.220980160535	-16070.138446685662	-34.08253347487289	0.6976611426985464	6.91148943805009	0.007189976829713652
2250	-15657.610984928266	-15640.335712569553	-17.27527235871288	0.4266897217787393	11.539300275271215	0.004207725067075531
3000	-15456.7591998471	-15437.800614529906	-18.958585317193773	0.5272835571769652	12.500483050803474	0.004664721768531664
3750	-15439.930773341666	-15422.626305931548	-17.30446741011782	0.37227015139874037	11.42834604281045	0.005083167731341929
4500	-15442.217793854652	-15423.902490474256	-18.315303380396152	0.5010783258297649	12.198866503800527	0.00563841000930445
5250	-15432.473187150019	-15416.41791881684	-16.05526833317878	0.5097945851932769	10.993824229788988	0.005432489747533113
6000	-15433.280821931587	-15415.062825457944	-18.217996473641954	0.621786465529865	12.16920515406028	0.004159160562972241
6750	-15429.349884132442	-15413.465564227661	-15.884319904780337	0.5046027529347636	10.914082261937537	0.004882528180803075
7500	-15436.834470915479	-15419.613192659419	-17.221278256059378	0.6157472620468215	11.724384452028286	0.00500629112224497
8250	-15431.986885798106	-15415.97246275824	-16.014423039865463	0.5649353700342338	9.898720571246132	0.005648399233841155
9000	-15438.846009204615	-15422.548690141268	-16.297319063347352	0.5029030824596273	11.234840689014417	0.005175777246084055
9750	-15430.877268752954	-15412.802257128378	-18.075011624576184	0.6245603749453214	12.046769519891063	0.005253480834124439
10500	-15432.007052707251	-15415.31117642921	-16.695876278040622	0.7148097310076866	11.186921535955268	0.005805023763399392
11250	-15432.10775030509	-15416.366701214365	-15.741049090724816	0.5951392267420099	10.319361508274389	0.006123372763372926
12000	-15431.36415431283	-15415.205393393353	-16.158760919477036	0.6531331311451067	11.019934989885094	0.005980147067832015
12750	-15430.93116746093	-15414.286273477615	-16.644893983314468	0.8581880520702693	10.338538464325495	0.006363792591950396
13500	-15430.939197826117	-15413.069910851933	-17.86928697418358	0.4097469120146803	9.582096674052883	0.008622736370788522
14250	-15430.714541348556	-15414.659894272989	-16.05464707556705	0.5054036489781898	10.722022770375682	0.006865909615434407
15000	-15428.12180681578	-15411.568371063935	-16.553435751845104	0.8312040942916279	10.431534672239572	0.005981168002187649
15750	-15429.752880069933	-15412.979738809696	-16.773141260237608	0.528725956405749	11.540272574941747	0.005645294690233216
16500	-15429.847180813578	-15413.800372708049	-16.046808105529788	0.48505972318727153	10.800155678561177	0.0062039902760501675
17250	-15430.544646655862	-15411.278700656268	-19.26594599959473	0.6264008530663671	12.422597377770236	0.005597853133696119
18000	-15429.244298344654	-15411.552653664212	-17.691644680441932	0.6921112691223003	11.704257130226743	0.006141507946452484
18750	-15430.906121259917	-15414.528993125015	-16.377128134901906	0.7412998396487699	10.242247174308211	0.008738032943257673
19500	-15431.326095898998	-15414.212735970728	-17.11335992826998	0.7501815597289324	11.186111281005452	0.007620407547637072
20250	-15435.333154636855	-15417.448104188157	-17.885050448698575	0.31273695312591454	10.823721378138437	0.006411353657187228
21000	-15430.90274948962	-15414.977007798043	-15.925741691577528	0.5417347540183398	10.50265193043967	0.007161366578185889
21750	-15433.294115889135	-15414.889722908887	-18.404392980248364	0.9224556719298659	11.179025138757758	0.006962746388256373
22500	-15430.8848764422	-15414.95411195931	-15.930764482890304	0.5847263234290158	10.715498272378138	0.0067077762656360986
23250	-15440.978245104412	-15420.932480230002	-20.045764874410924	0.7243392686272746	12.446660933730056	0.006100740150475333
24000	-15439.826421576714	-15423.166074523873	-16.660347052841185	0.786563746462852	10.791210067650699	0.006847671519268771
24750	-15439.936073297089	-15422.841756919779	-17.094316377310157	0.5182153363223526	11.676413594394795	0.005910499558021729
25500	-15438.905009920885	-15420.474036061873	-18.43097385901344	1.0033881058565923	10.70356910532166	0.007615050034496455
26250	-15438.117348251488	-15421.031059672803	-17.086288578683785	0.7000024181367155	9.284632493955854	0.006549861736642921
27000	-15433.300886334782	-15415.974388374396	-17.326497960385506	0.6417145994407786	11.664947614019495	0.006056985959873645
27750	-15444.418494762942	-15426.735172189263	-17.683322573679774	0.5512321883785147	11.910559918612499	0.006467457752724327
28500	-15442.263210192641	-15426.009432677492	-16.253777515148762	0.7951696303753486	10.558982432267705	0.005350483591575838
29250	-15431.500027019978	-15414.33488809508	-17.16513892489776	0.6321480044306146	11.645456637675146	0.005734605557452912
30000	-15433.566007554182	-15416.42871157757	-17.137295976611814	0.4320571586245572	11.501979478859596	0.006628972630871979
30750	-15431.680311322722	-15415.498413527714	-16.18189779500859	0.5715369003286584	11.145185223617627	0.005870039999633558
31500	-15435.136688663875	-15418.571703757423	-16.564984906451876	0.5332223126540124	11.330730346626119	0.006549755867292702
32250	-15437.569211775748	-15420.910724113852	-16.65848766189626	0.423949219870254	11.078133261747855	0.0061816038286355846
33000	-15431.465061352568	-15415.143895432297	-16.3211659202712	0.5941735748845857	11.189562687976439	0.005803654163649324
33750	-15435.474054933506	-15419.220816018673	-16.253238914831975	0.490287342669063	11.271186951561095	0.004685817043119415
34500	-15433.61827400853	-15415.60815861914	-18.010115389390872	0.6189515196687754	11.989958290650254	0.005950631194760032
35250	-15430.245278370576	-15414.463431679775	-15.781846690801268	0.6862861846732978	10.28805345750676	0.005723101375994902
36000	-15435.785170706944	-15419.89994154709	-15.885229159854095	0.4876889261389804	10.67501741404342	0.005378919285764648
36750	-15438.878680406258	-15418.396710691486	-20.481969714772685	0.47062118966342853	12.986881171425235	0.004304220323712299
37500	-15438.303902965525	-15421.667358476063	-16.636544489461798	0.40752203544309495	11.16366050124088	0.005046678829495275
38250	-15431.947731130762	-15415.144528217996	-16.803202912766107	0.7841921460612161	10.969930779958643	0.006024523130909821
39000	-15429.724236100408	-15413.471627785	-16.252608315408494	0.7440500547514947	10.660400120201317	0.006044480536606008
39750	-15431.988506724227	-15416.043631151148	-15.944875573079578	0.5753109286779322	10.727802556762017	0.006688301440673689
40500	-15436.411422105068	-15418.93255719666	-17.478864908407967	0.5829843328463641	11.790425232258137	0.00608787925904922
