Sample	posterior	likelihood	prior	lambda	treeHeightLogger	clockRate	
34500	-14849.499648507344	-14831.433695897664	-18.065952609681062	0.4466586702145225	12.083146197229125	0.005638818697312907	
35250	-14859.533319550097	-14839.44657747874	-20.086742071356387	0.41961618350189833	12.770689495445218	0.005561999543019349	
36000	-14846.467058463846	-14829.999263158026	-16.467795305819877	0.5404850589518845	11.345844793743348	0.005963053762783747	
36750	-14851.111390161921	-14834.559565236834	-16.551824925086954	0.8131066301611266	10.140485186301222	0.007857415006630706	
37500	-14847.405308463265	-14831.034679071165	-16.37062939210046	0.6430283787186021	11.245271432728192	0.005553813705374695	
38250	-14845.791981067496	-14829.882463756545	-15.909517310951632	0.5747338534381157	10.09633962054696	0.006803264879515573	
39000	-14850.957953422934	-14834.998779057274	-15.959174365659912	0.6479586168991259	11.102682010279342	0.0042482839259331325	
39750	-14850.220818274112	-14832.461440139425	-17.759378134688223	0.3481849448596884	11.288031563201214	0.007540815805957451	
40500	-14852.078241869893	-14834.692179064486	-17.386062805405896	0.8299625649358151	10.972452281999717	0.008334487255042492	
41250	-14848.17656073863	-14831.6137692398	-16.562791498828204	0.7308103898922482	11.06491209712598	0.006018535905172533	
42000	-14850.069495026475	-14833.68497183112	-16.38452319535436	0.6445209146647249	11.100324588283863	0.006922146220316361	
42750	-14850.139627904162	-14832.687219917561	-17.45240798660101	0.880939887185592	10.869962262161277	0.007000646685560592	
43500	-14847.348461552134	-14830.902619253602	-16.44584229853206	0.42328426070648106	10.874197690742045	0.006188483149881458	
44250	-14844.433896382889	-14826.899605791705	-17.534290591183943	0.8657402020296008	11.04056532071186	0.006532261468620827	
45000	-14851.80199901333	-14828.344732650767	-23.457266362563907	0.3827369538666947	13.677309677722915	0.005582382674626818	
45750	-14854.864883925546	-14836.176199008805	-18.688684916740982	0.3331539806630073	11.909938883740033	0.0057972962494085125	
46500	-14855.539795013374	-14838.777764428383	-16.762030584991066	0.45559577364762743	11.431975262454436	0.005457612238697616	
47250	-14850.836625704693	-14834.399889359725	-16.43673634496777	0.7722599714976407	10.202457950965506	0.00780670783403625	
48000	-14851.536902831653	-14835.114279987692	-16.42262284396046	0.5150080649157271	11.39096035159375	0.004918760837644713	
48750	-14848.400865324431	-14831.369004147302	-17.031861177129613	0.4699968787488813	11.54973882714778	0.006674285875720294	
49500	-14849.421969859237	-14832.793591666488	-16.62837819274815	0.64359099611396	11.285788076824993	0.0066069792192437185	
50250	-14851.249543861497	-14834.72370701473	-16.525836846767575	0.44216278836009465	10.136138292074175	0.007096612629245908	
51000	-14853.275185147104	-14837.482719716818	-15.792465430286143	0.5000754333939544	10.399275158701283	0.005440214126541605	
51750	-14847.02407695296	-14831.118323404067	-15.90575354889269	0.6062236430818474	10.618264514828645	0.007173368654234421	
52500	-14848.600652640673	-14832.637960999493	-15.962691641179065	0.5612816368321162	10.376627440112888	0.007690535854373691	
53250	-14851.265014881139	-14833.841183816849	-17.4238310642909	0.37906487071211237	11.467960747046902	0.006059397941726117	
54000	-14852.440986288024	-14836.596228808383	-15.844757479641757	0.5799742268034012	10.963473854567827	0.005110398994881789	
54750	-14849.956795017695	-14831.533913980986	-18.422881036708898	0.7284041250538907	11.916917572058589	0.005566097078909443	
55500	-14851.059746985355	-14834.521991262658	-16.537755722697256	0.740666215160028	10.987985657998554	0.005715802582384495	
56250	-14853.469915813124	-14836.89206719314	-16.57784861998524	0.8251207315552963	10.00690732596133	0.006819297118877847	
57000	-14848.760640567565	-14832.920480363404	-15.8401602041615	0.5311642140626789	10.647079229965335	0.006463541680379931	
57750	-14847.824650941568	-14831.956499650854	-15.86815129071408	0.6231707064665988	10.323899576123928	0.007181765930589109	
