Sample	posterior	likelihood	prior	lambda	treeHeightLogger	clockRate
17250	-14861.927729308378	-14844.04860601171	-17.879123296668524	0.6786008566540552	11.875876168800096	0.004756826783318383
18000	-14851.730806814638	-14835.337128010045	-16.393678804591353	0.8043885203728621	10.519346526188798	0.005468526628431567
18750	-14852.428425333275	-14835.468752738723	-16.959672594551932	0.5656276687499846	11.549596720725834	0.006618741791065997
19500	-14847.249780712837	-14829.980407762027	-17.269372950809565	0.5138343438215338	11.756812704495264	0.006133975414701626
20250	-14847.565982465654	-14831.43878852114	-16.1271939445136	0.6894562086782087	10.984779879826677	0.005123096551144389
21000	-14847.768648670348	-14831.54482389648	-16.223824773867662	0.4928947768026905	9.915620630468146	0.0059196917481603925
21750	-14848.973985925546	-14832.71811180808	-16.255874117465826	0.5847252751607205	11.2928734177146	0.005035119977054842
22500	-14849.517033744492	-14832.550381744983	-16.966651999510734	0.6565666777146375	11.410021256355824	0.006862097502580523
23250	-14850.38221801828	-14833.541456332023	-16.8407616862568	0.762375078740476	10.967579691890192	0.007518938248706487
24000	-14851.86382850304	-14835.552801737276	-16.311026765762463	0.45734026402447026	10.309267747989846	0.00716333759490305
24750	-14844.245208609875	-14828.451459288035	-15.79374932183892	0.5504837878806702	10.52836091026845	0.0065326331508522885
25500	-14846.058674003914	-14829.925105993818	-16.133568010096933	0.6999173418664099	10.201089537431628	0.007985083699452637
26250	-14845.264376134961	-14828.776118241365	-16.488257893595232	0.5280769099279629	11.305822975740156	0.006618082173515393
27000	-14851.958358675323	-14835.523527993897	-16.43483068142667	0.4975170546729111	11.145071912581512	0.00733011371167049
27750	-14845.5996066107	-14828.52772245358	-17.07188415712051	0.7435975789275132	11.255077812455642	0.0065330409059668375
28500	-14845.971231342573	-14827.998905184626	-17.972326157947585	0.5599973541029013	12.061175160631025	0.0059637164134224985
29250	-14847.424411772443	-14831.60800150771	-15.816410264733376	0.661872671475563	10.649854466869405	0.005693620165554183
30000	-14848.305388754985	-14832.187323351285	-16.118065403699504	0.7479580867801621	10.088461276971703	0.006498603639184293
30750	-14847.079212325274	-14831.04824924225	-16.030963083023668	0.5319071286259401	10.79301492771107	0.0072426336960551
31500	-14849.162805442702	-14831.774427933111	-17.38837750959177	0.4949628082472275	11.908388041024033	0.004889648732251473
32250	-14851.89753037991	-14829.507050171576	-22.390480208334328	0.4988049046040531	13.44997702631301	0.005333601369239655
33000	-14847.047200756784	-14831.154511429551	-15.892689327232942	0.5842382777765418	9.908920101751557	0.005589428037750628
33750	-14848.918601556954	-14832.424845357986	-16.49375619896881	0.8333877325729767	9.807247732524452	0.005575629000419156
34500	-14847.885479615887	-14831.666107150371	-16.21937246551451	0.4605184737545952	10.69945497070729	0.007031384952259843
35250	-14848.351397331777	-14828.486216277608	-19.8651810541683	0.5796622570266364	12.66242564103173	0.006185658061630131
36000	-14846.836559498432	-14829.90855234541	-16.928007153020566	0.8047501794056716	10.865953999778997	0.0072939097556924
36750	-14851.651072909333	-14831.30761001817	-20.343462891164176	0.23089862141367457	11.524193148339656	0.00599630793622199
37500	-14850.39918152093	-14829.041178648617	-21.35800287231299	0.41671574947696033	13.183811399182419	0.005023080680750489
38250	-14847.239478260002	-14827.2167658738	-20.022712386202233	0.37444510983579055	12.631517684133078	0.006187906451063136
39000	-14845.495613724554	-14829.538043543294	-15.957570181259268	0.530182263546427	10.69089862159241	0.006867491688760878
39750	-14849.083967442086	-14833.033804804514	-16.050162637571795	0.5016738401050053	10.792121013000898	0.006613864179819941
40500	-14844.474333825196	-14828.490986638175	-15.983347187021446	0.6948457468430521	9.918440359217755	0.006056307540777956
41250	-14847.4559073768	-14829.445731612885	-18.01017576391552	0.9464102351774792	10.93908564943438	0.006319933902180841
42000	-14843.332495459625	-14826.965963030441	-16.366532429183966	0.4339614983878008	10.437110511780114	0.0067921207324145435
42750	-14848.092093980862	-14831.805554739785	-16.28653924107737	0.6354426248196282	9.79161792532677	0.007874632045580577
43500	-14846.353895134425	-14829.814460320446	-16.539434813980613	0.5000810212471152	11.2664938677028	0.007107067788746919
44250	-14845.582427763557	-14828.95304062483	-16.62938713872581	0.7599482008580917	10.86282827202486	0.007231389400721732
45000	-14844.563498174974	-14828.169675589263	-16.393822585711757	0.6149473194816168	9.725210469639249	0.007980981385783327
45750	-14847.969857853484	-14831.357326990692	-16.612530862792223	0.7835431625971371	9.837385022349435	0.008059996289514811
46500	-14844.815587757592	-14829.139580047136	-15.676007710455844	0.6454230224266266	10.416067910811188	0.005694121618656869
47250	-14848.293310055695	-14831.858668158853	-16.434641896842326	0.697007423412741	11.067421479825022	0.006244280511559352
48000	-14847.884385525933	-14831.273315716833	-16.611069809099	0.5232187638391708	11.382257443412627	0.006513118677293369
48750	-14845.31576911321	-14827.546980197638	-17.768788915571818	0.7800614967772782	11.412479696039428	0.0076184880761425095
49500	-14849.509529134006	-14830.315419359089	-19.1941097749167	0.7142746361378789	12.164540196569986	0.007139794877952408
50250	-14844.178079224923	-14828.137114580852	-16.040964644072076	0.490492020764277	10.612631262649193	0.006991344092517754
51000	-14848.987520866918	-14830.287835542182	-18.69968532473583	0.4796235675007346	12.418784990667955	0.004641713509809009
51750	-14847.704637976822	-14830.810963909955	-16.89367406686656	0.6731459662620435	11.38574954406297	0.006458902230369539
52500	-14844.045899217152	-14827.142891192814	-16.903008024336813	0.38825669846298916	10.204526142359969	0.006421801190049834
53250	-14851.671959662563	-14831.049442384783	-20.622517277779522	0.8207845428818437	12.340140658535692	0.006279571591281388
54000	-14842.448410376708	-14826.57723088855	-15.871179488158347	0.5398030866920583	10.70567267524277	0.006479400911031334
54750	-14849.75640502555	-14833.12844116591	-16.627963859639088	0.4274705946638667	10.230880809351435	0.007544521175330467
55500	-14848.383821119527	-14831.098808540344	-17.285012579182272	0.8752507792723939	10.695804380020306	0.007922465210350399
56250	-14844.415630422329	-14828.439443463385	-15.976186958943572	0.6407284563245147	10.459509662813504	0.008125977026775203
57000	-14843.959634133871	-14827.931628683713	-16.02800545015809	0.4758660049458589	10.65520907317103	0.006405322740863168
57750	-14846.046276459268	-14829.114800683135	-16.931475776132757	0.5962540306583526	11.534897659921434	0.006248359752865897
58500	-14848.367847995467	-14828.227376136125	-20.14047185934198	0.6090066141067941	12.72725257308641	0.005841268063525433
