Sample	posterior	likelihood	prior	lambda	treeHeightLogger	clockRate
0	-115612.76546748064	-62237.16232409213	-53375.60314338851	0.1	1.3E-9	0.011211083520656025
750	-36545.68721951543	-25546.146427661413	-10999.540791854017	2626.4821454417515	3.273125931056724E-4	0.6402287722751464
1500	-15150.97706727309	-15038.821125119453	-112.15594215363748	7.789153096803412	6.86430015312351	0.00741660919995768
2250	-14447.824092674986	-14427.965875442544	-19.858217232442012	0.5060309512649631	12.83759110556945	0.003207776682166004
3000	-14414.134959998684	-14396.148679683218	-17.98628031546569	0.662036422895801	12.013806450653302	0.003912103239648021
3750	-14399.82384543282	-14383.065973204943	-16.757872227878313	0.53359253994026	11.636631386591654	0.004673988069844603
4500	-14401.027380289486	-14384.050796462765	-16.976583826721274	0.3574897450454917	10.616076949831582	0.005375779583485913
5250	-14401.966499374315	-14384.778000799335	-17.188498574980674	0.5187521065809566	11.77648762162358	0.00560837834379561
6000	-14402.781633439437	-14386.818247854131	-15.963385585306355	0.4763757927898941	10.70245539260403	0.00545717776021411
6750	-14399.148876125317	-14379.34418372671	-19.804692398608026	0.26569843860102743	9.824770530476215	0.006630127053844437
7500	-14398.99325786235	-14380.743106397622	-18.250151464728738	0.6570520835176554	11.962552854251145	0.007039597250705026
8250	-14397.779155018046	-14381.14003843423	-16.639116583816257	0.6303738815926445	11.383222656049817	0.005826044477567712
9000	-14399.723066841567	-14382.476602236287	-17.24646460527947	0.36973346500991133	11.327542778126405	0.005570349486632107
9750	-14398.637917273645	-14382.709982880346	-15.927934393299743	0.5675106283136636	10.077674758978631	0.006759748165255303
10500	-14398.986628097487	-14382.839318653243	-16.147309444244655	0.5684298569398265	11.256552341349403	0.005061701856541264
11250	-14396.744417929642	-14377.979251748655	-18.76516618098674	0.4492373311523054	12.334381305324811	0.006136083314557419
12000	-14398.914334107	-14382.895063398564	-16.01927070843591	0.5468550763054801	11.131636762423508	0.005261687437415559
12750	-14411.40313194927	-14391.210016388752	-20.19311556051825	1.1167810694762417	11.150298544152568	0.005210761914107835
13500	-14402.0198172987	-14385.08735142933	-16.932465869370013	0.6161053760045165	11.495947416249686	0.0063974016846217565
14250	-14405.860147564994	-14383.618890954647	-22.24125661034629	0.5940529211947615	13.33985506340813	0.004452097348750953
15000	-14399.379558899787	-14382.493592107108	-16.885966792679532	0.8474110162128429	10.781457391204093	0.005645978889638968
15750	-14399.80937551963	-14379.566605960867	-20.2427695587633	0.2528442063765955	11.919747491304998	0.005674604678714479
16500	-14398.525048486576	-14381.958710737055	-16.566337749519413	0.6882027146202168	11.230320295383104	0.0055166515908268215
17250	-14399.041647509617	-14382.489402948306	-16.552244561310737	0.721768006569227	9.600147130993017	0.0069286437083569625
18000	-14398.86573184386	-14380.295345952103	-18.570385891757013	0.5322396244535271	12.295181581523263	0.0058932296432969615
18750	-14394.16376154302	-14378.289376234656	-15.87438530836593	0.6625026733728168	10.718391978180923	0.0058818214757769645
19500	-14402.566433564827	-14380.835262152854	-21.73117141197344	0.883568250776518	12.523393388486765	0.004946398697208119
20250	-14395.824949669664	-14378.54963071399	-17.275318955675598	0.3714616174047439	11.256217070169056	0.006257574935622667
21000	-14397.700060692794	-14381.774364780811	-15.925695911982364	0.5018951712868648	10.688520483054388	0.006123017549828713
21750	-14394.888458285974	-14379.32283557259	-15.565622713383707	0.5639421082187567	10.549683893006579	0.00511175950506521
22500	-14395.136919153938	-14379.319007350601	-15.817911803337623	0.5657211633130794	10.684561321909834	0.006553320218646919
23250	-14395.911607761456	-14379.68475852497	-16.226849236485837	0.7540737857548734	10.289582030584763	0.007491193232535633
24000	-14401.42221100149	-14385.30214064654	-16.12007035495035	0.4498624854004529	10.258600024873388	0.005516587198185706
24750	-14400.484353372289	-14383.481359732814	-17.00299363947486	0.6511997105237249	11.482235290844372	0.006155514584917094
25500	-14401.466334450894	-14385.177909255504	-16.288425195388538	0.6540392380115123	11.043036052700781	0.006686966611415664
26250	-14399.474993855332	-14383.389074291212	-16.08591956411967	0.6938676070214027	10.893480826059987	0.005608516759476878
27000	-14402.361520130742	-14383.830345513463	-18.531174617279103	0.45331145686535645	12.233724916676818	0.00655219096265217
27750	-14396.885477474392	-14379.732693164198	-17.152784310193425	0.7377386183366059	9.363518669236752	0.00843744983743462
28500	-14402.210892308614	-14384.381831339377	-17.82906096923841	0.593041237885051	11.983534517553062	0.005863679387731207
29250	-14400.224442099421	-14383.48439750824	-16.740044591180798	0.7969928614217302	10.691695865057902	0.0074511344329202134
30000	-14401.999636339126	-14385.900028244456	-16.099608094669374	0.5325966227132959	10.795013302072968	0.007543915044672934
30750	-14399.609904313133	-14381.796790739429	-17.813113573704015	0.5744750469658937	11.981283919581145	0.005977525830548323
